video,cp,dg,G_continue,best,dg_project
LC_dv07_Tlc4p0_TTC04_CP1_S5p033_E15p033.mp4,CP1,437620.12895095954,441272.0378364718,ease_off,17896.496985723606
LC_dv07_Tlc4p0_TTC04_CP2_S5p333_E15p333.mp4,CP2,51445.145018137104,65224.04617990403,ease_off,151192.85836533058
LC_dv07_Tlc4p0_TTC04_CP3_S5p633_E15p633.mp4,CP3,52522.50607181464,68183.43799117273,ease_off,151300.5984100708
LC_dv07_Tlc4p0_TTC04_CP4_S5p933_E15p933.mp4,CP4,54110.29302791216,72344.83382306415,ease_off,151603.53612208157
LC_dv07_Tlc4p0_TTC04_CP5_S6p233_E16p233.mp4,CP5,55694.27508161109,76001.87508161108,brake,151028.59924204394
LC_dv07_Tlc4p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,2105987.0602392433,2109184.1693795053,ease_off,23352.934003986175
LC_dv07_Tlc4p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,47251.45135941831,56974.85888965038,ease_off,140197.36575474445
LC_dv07_Tlc4p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,50608.55186385103,66521.24439573927,ease_off,149364.80341225694
LC_dv07_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,5257766.760332637,5262186.245534308,ease_off,24795.96142480288
LC_dv07_Tlc4p0_TTC07_CP2_S5p367_E15p367.mp4,CP2,45949.11718855292,52573.45216242098,ease_off,137028.507905038
LC_dv07_Tlc4p0_TTC07_CP4_S5p967_E15p967.mp4,CP4,48481.04029893474,57978.68387022022,ease_off,137639.5370248431
LC_dv14_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,1027596.3246318531,1047928.3963078822,brake,7810.58290260797
LC_dv14_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,103558.00079623052,124700.41658215816,brake,155647.7722062091
LC_dv14_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,110207.58380588666,135145.60105461002,brake,151134.05169731422
LC_dv14_Tlc2p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,113962.20193748082,143614.3817086465,brake,145880.71286878778
LC_dv14_Tlc2p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,117613.02482808837,149962.93009426532,brake,138140.62719223928
LC_dv14_Tlc2p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,17615442.0451853,17635751.929082975,brake,33307.3660253453
LC_dv14_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,90474.65964634252,110849.67037732704,brake,177446.25912536943
LC_dv14_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,99082.4412173856,121168.63485894079,brake,172804.2813300682
LC_dv14_Tlc2p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,101920.91603801872,128828.67571391874,brake,167358.70093529916
LC_dv14_Tlc2p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,106567.43154445718,135334.73095587545,brake,162514.4763754181
LC_dv14_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,157000331.14089718,157009073.07392544,ease_off,13303.942972401986
LC_dv14_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,77653.638170001,97961.3032801685,brake,185839.56139101827
LC_dv14_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,87952.78508322529,108293.46463609052,brake,185491.95699014474
LC_dv14_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,92393.01618693043,115248.69810273286,brake,182446.0161953118
LC_dv14_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,96074.41054857345,121433.31275117889,brake,179123.45000296005
LC_dv14_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,2297679.9824858285,2303319.7826969107,ease_off,19194.60410577149
LC_dv14_Tlc2p0_TTC05_CP3_S5p667_E15p667.mp4,CP3,72888.61536169979,93196.21536169978,brake,181850.4049498647
LC_dv14_Tlc2p0_TTC05_CP5_S6p267_E16p267.mp4,CP5,88882.92465787799,109250.46542002958,brake,187449.93541690666
LC_dv14_Tlc2p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,718112.9415049509,722477.9150293652,ease_off,25167.80233196173
LC_dv14_Tlc2p0_TTC06_CP2_S5p367_E15p367.mp4,CP2,61156.420012342016,79106.95012624901,ease_off,167888.22273134277
LC_dv14_Tlc2p0_TTC06_CP4_S5p967_E15p967.mp4,CP4,73820.00342874789,94127.60342874788,brake,177413.89661808658
LC_dv14_Tlc3p0_TTC02_CP1_S5p033_E15p033.mp4,CP1,14530164.628147049,14550492.18088685,brake,8656.243975530979
LC_dv14_Tlc3p0_TTC02_CP2_S5p333_E15p333.mp4,CP2,99912.71518098805,120553.53829022688,brake,155234.0136135541
LC_dv14_Tlc3p0_TTC02_CP3_S5p633_E15p633.mp4,CP3,105668.98596162048,127615.84668783318,brake,149226.87085843668
LC_dv14_Tlc3p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,111147.74203424706,136043.48820309067,brake,142450.9821602003
