scenario,cell,p,n,reading,h,c_inst,c_pers,t_open,pet,d_onc,t_sep,theta_dot
ltap,"70 km/h, PET 1.0",0.6162790697674418,172.0,K,3.0,1.5557676271835434,1.5557624012806501,,1.0,78.94077368577321,2.0020000000000007,0.006258080922113585
ltap,"70 km/h, PET 1.0",0.6162790697674418,172.0,K,4.0,1.5557672094784054,1.5557624012806501,,1.0,78.94077368577321,2.0020000000000007,0.006258080922113585
ltap,"70 km/h, PET 1.0",0.6162790697674418,172.0,K,5.0,1.5557668370723983,1.5557624012806501,,1.0,78.94077368577321,2.0020000000000007,0.006258080922113585
ltap,"70 km/h, PET 1.0",0.6162790697674418,172.0,K,6.0,1.5557668370723983,1.5557624012806501,,1.0,78.94077368577321,2.0020000000000007,0.006258080922113585
ltap,"70 km/h, PET 1.0",0.6162790697674418,172.0,P,3.0,16.11777890513131,16.11777890513131,,1.0,78.94077368577321,2.0020000000000007,0.006258080922113585
ltap,"70 km/h, PET 1.0",0.6162790697674418,172.0,P,4.0,0.0,0.0,,1.0,78.94077368577321,2.0020000000000007,0.006258080922113585
ltap,"70 km/h, PET 1.0",0.6162790697674418,172.0,P,5.0,0.0,0.0,,1.0,78.94077368577321,2.0020000000000007,0.006258080922113585
ltap,"70 km/h, PET 1.0",0.6162790697674418,172.0,P,6.0,0.0,0.0,,1.0,78.94077368577321,2.0020000000000007,0.006258080922113585
ltap,"70 km/h, PET 1.0",0.6162790697674418,172.0,KP,3.0,1.5557676271835434,1.5557624012806501,,1.0,78.94077368577321,2.0020000000000007,0.006258080922113585
ltap,"70 km/h, PET 1.0",0.6162790697674418,172.0,KP,4.0,0.0,0.0,,1.0,78.94077368577321,2.0020000000000007,0.006258080922113585
ltap,"70 km/h, PET 1.0",0.6162790697674418,172.0,KP,5.0,0.0,0.0,,1.0,78.94077368577321,2.0020000000000007,0.006258080922113585
ltap,"70 km/h, PET 1.0",0.6162790697674418,172.0,KP,6.0,0.0,0.0,,1.0,78.94077368577321,2.0020000000000007,0.006258080922113585
ltap,"70 km/h, PET 1.5",0.5,172.0,K,3.0,1.5557680963776765,1.5557123947842562,,1.5,87.67729777097702,2.5029999999999983,0.005073719573730389
ltap,"70 km/h, PET 1.5",0.5,172.0,K,4.0,1.555767155954554,1.5557123947842562,,1.5,87.67729777097702,2.5029999999999983,0.005073719573730389
ltap,"70 km/h, PET 1.5",0.5,172.0,K,5.0,1.555766215531432,1.5557123947842562,,1.5,87.67729777097702,2.5029999999999983,0.005073719573730389
ltap,"70 km/h, PET 1.5",0.5,172.0,K,6.0,1.5557658922547244,1.5557123947842562,,1.5,87.67729777097702,2.5029999999999983,0.005073719573730389
ltap,"70 km/h, PET 1.5",0.5,172.0,P,3.0,24.734094400907274,24.734094400907274,,1.5,87.67729777097702,2.5029999999999983,0.005073719573730389
ltap,"70 km/h, PET 1.5",0.5,172.0,P,4.0,6.668158764845743,6.668158764845743,,1.5,87.67729777097702,2.5029999999999983,0.005073719573730389
ltap,"70 km/h, PET 1.5",0.5,172.0,P,5.0,0.0,0.0,,1.5,87.67729777097702,2.5029999999999983,0.005073719573730389
ltap,"70 km/h, PET 1.5",0.5,172.0,P,6.0,0.0,0.0,,1.5,87.67729777097702,2.5029999999999983,0.005073719573730389
ltap,"70 km/h, PET 1.5",0.5,172.0,KP,3.0,1.5557680963776765,1.5557123947842562,,1.5,87.67729777097702,2.5029999999999983,0.005073719573730389
ltap,"70 km/h, PET 1.5",0.5,172.0,KP,4.0,1.555767155954554,1.5557123947842562,,1.5,87.67729777097702,2.5029999999999983,0.005073719573730389
ltap,"70 km/h, PET 1.5",0.5,172.0,KP,5.0,0.0,0.0,,1.5,87.67729777097702,2.5029999999999983,0.005073719573730389
ltap,"70 km/h, PET 1.5",0.5,172.0,KP,6.0,0.0,0.0,,1.5,87.67729777097702,2.5029999999999983,0.005073719573730389
ltap,"70 km/h, PET 2.0",0.36046511627906974,172.0,K,3.0,1.5557504090693441,1.5557504090693441,,2.0,101.57542251689094,3.003000000000002,0.0037800274350647755
ltap,"70 km/h, PET 2.0",0.36046511627906974,172.0,K,4.0,1.5557504090693441,1.555750259908064,,2.0,101.57542251689094,3.003000000000002,0.0037800274350647755
ltap,"70 km/h, PET 2.0",0.36046511627906974,172.0,K,5.0,1.5557504090693441,1.555749910120964,,2.0,101.57542251689094,3.003000000000002,0.0037800274350647755
ltap,"70 km/h, PET 2.0",0.36046511627906974,172.0,K,6.0,1.5557504090693441,1.5557477809898475,,2.0,101.57542251689094,3.003000000000002,0.0037800274350647755
ltap,"70 km/h, PET 2.0",0.36046511627906974,172.0,P,3.0,44.076435573589045,44.076435573589045,,2.0,101.57542251689094,3.003000000000002,0.0037800274350647755
ltap,"70 km/h, PET 2.0",0.36046511627906974,172.0,P,4.0,27.177926183551193,27.177926183551193,,2.0,101.57542251689094,3.003000000000002,0.0037800274350647755
ltap,"70 km/h, PET 2.0",0.36046511627906974,172.0,P,5.0,10.768373040403741,10.768373040403741,,2.0,101.57542251689094,3.003000000000002,0.0037800274350647755
ltap,"70 km/h, PET 2.0",0.36046511627906974,172.0,P,6.0,0.0,0.0,,2.0,101.57542251689094,3.003000000000002,0.0037800274350647755
ltap,"70 km/h, PET 2.0",0.36046511627906974,172.0,KP,3.0,1.5557504090693441,1.5557504090693441,,2.0,101.57542251689094,3.003000000000002,0.0037800274350647755
ltap,"70 km/h, PET 2.0",0.36046511627906974,172.0,KP,4.0,1.5557504090693441,1.555750259908064,,2.0,101.57542251689094,3.003000000000002,0.0037800274350647755
ltap,"70 km/h, PET 2.0",0.36046511627906974,172.0,KP,5.0,1.5557504090693441,1.555749910120964,,2.0,101.57542251689094,3.003000000000002,0.0037800274350647755
ltap,"70 km/h, PET 2.0",0.36046511627906974,172.0,KP,6.0,0.0,0.0,,2.0,101.57542251689094,3.003000000000002,0.0037800274350647755
ltap,"70 km/h, PET 2.5",0.22674418604651161,172.0,K,3.0,1.5557568516667002,1.5557447406369198,,2.5,109.44843330553599,3.604000000000001,0.003255799103237059
ltap,"70 km/h, PET 2.5",0.22674418604651161,172.0,K,4.0,1.5557548394171778,1.5557434546323812,,2.5,109.44843330553599,3.604000000000001,0.003255799103237059
ltap,"70 km/h, PET 2.5",0.22674418604651161,172.0,K,5.0,1.5557528271676553,1.5557421686278436,,2.5,109.44843330553599,3.604000000000001,0.003255799103237059
ltap,"70 km/h, PET 2.5",0.22674418604651161,172.0,K,6.0,1.5557508149181327,1.5557408826233048,,2.5,109.44843330553599,3.604000000000001,0.003255799103237059
ltap,"70 km/h, PET 2.5",0.22674418604651161,172.0,P,3.0,45.31241556177987,45.31241556177987,,2.5,109.44843330553599,3.604000000000001,0.003255799103237059
ltap,"70 km/h, PET 2.5",0.22674418604651161,172.0,P,4.0,26.335386646377412,26.335386646377412,,2.5,109.44843330553599,3.604000000000001,0.003255799103237059
ltap,"70 km/h, PET 2.5",0.22674418604651161,172.0,P,5.0,8.090101116632406,8.090101116632406,,2.5,109.44843330553599,3.604000000000001,0.003255799103237059
ltap,"70 km/h, PET 2.5",0.22674418604651161,172.0,P,6.0,0.0,0.0,,2.5,109.44843330553599,3.604000000000001,0.003255799103237059
ltap,"70 km/h, PET 2.5",0.22674418604651161,172.0,KP,3.0,1.5557568516667002,1.5557447406369198,,2.5,109.44843330553599,3.604000000000001,0.003255799103237059
ltap,"70 km/h, PET 2.5",0.22674418604651161,172.0,KP,4.0,1.5557548394171778,1.5557434546323812,,2.5,109.44843330553599,3.604000000000001,0.003255799103237059
ltap,"70 km/h, PET 2.5",0.22674418604651161,172.0,KP,5.0,1.5557528271676553,1.5557421686278436,,2.5,109.44843330553599,3.604000000000001,0.003255799103237059
ltap,"70 km/h, PET 2.5",0.22674418604651161,172.0,KP,6.0,0.0,0.0,,2.5,109.44843330553599,3.604000000000001,0.003255799103237059
ltap,"70 km/h, PET 3.0",0.12790697674418605,172.0,K,3.0,1.5557523727089173,1.555740749466515,,3.0,119.00282667364392,4.104000000000001,0.0027540175482055323
ltap,"70 km/h, PET 3.0",0.12790697674418605,172.0,K,4.0,1.5557523727089173,1.555740749466515,,3.0,119.00282667364392,4.104000000000001,0.0027540175482055323
ltap,"70 km/h, PET 3.0",0.12790697674418605,172.0,K,5.0,1.5557523727089173,1.555740749466515,,3.0,119.00282667364392,4.104000000000001,0.0027540175482055323
ltap,"70 km/h, PET 3.0",0.12790697674418605,172.0,K,6.0,1.5557523727089173,1.555740749466515,,3.0,119.00282667364392,4.104000000000001,0.0027540175482055323
ltap,"70 km/h, PET 3.0",0.12790697674418605,172.0,P,3.0,54.76804133255912,54.76804133255912,,3.0,119.00282667364392,4.104000000000001,0.0027540175482055323
ltap,"70 km/h, PET 3.0",0.12790697674418605,172.0,P,4.0,35.65493150347365,35.65493150347365,,3.0,119.00282667364392,4.104000000000001,0.0027540175482055323
ltap,"70 km/h, PET 3.0",0.12790697674418605,172.0,P,5.0,16.908621574497595,16.908621574497595,,3.0,119.00282667364392,4.104000000000001,0.0027540175482055323
ltap,"70 km/h, PET 3.0",0.12790697674418605,172.0,P,6.0,0.08923868687128196,0.08923868687128196,,3.0,119.00282667364392,4.104000000000001,0.0027540175482055323
ltap,"70 km/h, PET 3.0",0.12790697674418605,172.0,KP,3.0,1.5557523727089173,1.555740749466515,,3.0,119.00282667364392,4.104000000000001,0.0027540175482055323
ltap,"70 km/h, PET 3.0",0.12790697674418605,172.0,KP,4.0,1.5557523727089173,1.555740749466515,,3.0,119.00282667364392,4.104000000000001,0.0027540175482055323
ltap,"70 km/h, PET 3.0",0.12790697674418605,172.0,KP,5.0,1.5557523727089173,1.555740749466515,,3.0,119.00282667364392,4.104000000000001,0.0027540175482055323
ltap,"70 km/h, PET 3.0",0.12790697674418605,172.0,KP,6.0,0.08923868687128196,0.08923868687128196,,3.0,119.00282667364392,4.104000000000001,0.0027540175482055323
ltap,"70 km/h, PET 3.5",0.11627906976744186,172.0,K,3.0,1.5557621903813703,1.5557553565525548,,3.5,128.2025676539966,4.504999999999999,0.002372983073121694
ltap,"70 km/h, PET 3.5",0.11627906976744186,172.0,K,4.0,1.5557601838388606,1.5557551372000287,,3.5,128.2025676539966,4.504999999999999,0.002372983073121694
ltap,"70 km/h, PET 3.5",0.11627906976744186,172.0,K,5.0,1.5557581772963514,1.5557549178475039,,3.5,128.2025676539966,4.504999999999999,0.002372983073121694
ltap,"70 km/h, PET 3.5",0.11627906976744186,172.0,K,6.0,1.5557561707538436,1.5557514497464904,,3.5,128.2025676539966,4.504999999999999,0.002372983073121694
ltap,"70 km/h, PET 3.5",0.11627906976744186,172.0,P,3.0,64.00644854365649,64.00644854365649,,3.5,128.2025676539966,4.504999999999999,0.002372983073121694
ltap,"70 km/h, PET 3.5",0.11627906976744186,172.0,P,4.0,44.8079696121564,44.8079696121564,,3.5,128.2025676539966,4.504999999999999,0.002372983073121694
ltap,"70 km/h, PET 3.5",0.11627906976744186,172.0,P,5.0,25.82418921884976,25.82418921884976,,3.5,128.2025676539966,4.504999999999999,0.002372983073121694
ltap,"70 km/h, PET 3.5",0.11627906976744186,172.0,P,6.0,7.641114733978629,7.641114733978629,,3.5,128.2025676539966,4.504999999999999,0.002372983073121694
ltap,"70 km/h, PET 3.5",0.11627906976744186,172.0,KP,3.0,1.5557621903813703,1.5557553565525548,,3.5,128.2025676539966,4.504999999999999,0.002372983073121694
ltap,"70 km/h, PET 3.5",0.11627906976744186,172.0,KP,4.0,1.5557601838388606,1.5557551372000287,,3.5,128.2025676539966,4.504999999999999,0.002372983073121694
ltap,"70 km/h, PET 3.5",0.11627906976744186,172.0,KP,5.0,1.5557581772963514,1.5557549178475039,,3.5,128.2025676539966,4.504999999999999,0.002372983073121694
ltap,"70 km/h, PET 3.5",0.11627906976744186,172.0,KP,6.0,1.5557561707538436,1.5557514497464904,,3.5,128.2025676539966,4.504999999999999,0.002372983073121694
ltap,"70 km/h, PET 4.0",0.11046511627906977,172.0,K,3.0,1.5557641881420676,1.5557473511327933,,4.0,138.17893719673157,5.2059999999999995,0.0020427140794547992
ltap,"70 km/h, PET 4.0",0.11046511627906977,172.0,K,4.0,1.5557626332020675,1.5557471196484505,,4.0,138.17893719673157,5.2059999999999995,0.0020427140794547992
ltap,"70 km/h, PET 4.0",0.11046511627906977,172.0,K,5.0,1.5557610782620677,1.5557468881641086,,4.0,138.17893719673157,5.2059999999999995,0.0020427140794547992
ltap,"70 km/h, PET 4.0",0.11046511627906977,172.0,K,6.0,1.5557595233220676,1.5557466566797662,,4.0,138.17893719673157,5.2059999999999995,0.0020427140794547992
ltap,"70 km/h, PET 4.0",0.11046511627906977,172.0,P,3.0,73.45362454315199,73.45362454315199,,4.0,138.17893719673157,5.2059999999999995,0.0020427140794547992
ltap,"70 km/h, PET 4.0",0.11046511627906977,172.0,P,4.0,54.20388623960554,54.20388623960554,,4.0,138.17893719673157,5.2059999999999995,0.0020427140794547992
ltap,"70 km/h, PET 4.0",0.11046511627906977,172.0,P,5.0,35.08763782123043,35.08763782123043,,4.0,138.17893719673157,5.2059999999999995,0.0020427140794547992
ltap,"70 km/h, PET 4.0",0.11046511627906977,172.0,P,6.0,16.371930684721267,16.371930684721267,,4.0,138.17893719673157,5.2059999999999995,0.0020427140794547992
ltap,"70 km/h, PET 4.0",0.11046511627906977,172.0,KP,3.0,1.5557641881420676,1.5557473511327933,,4.0,138.17893719673157,5.2059999999999995,0.0020427140794547992
ltap,"70 km/h, PET 4.0",0.11046511627906977,172.0,KP,4.0,1.5557626332020675,1.5557471196484505,,4.0,138.17893719673157,5.2059999999999995,0.0020427140794547992
ltap,"70 km/h, PET 4.0",0.11046511627906977,172.0,KP,5.0,1.5557610782620677,1.5557468881641086,,4.0,138.17893719673157,5.2059999999999995,0.0020427140794547992
ltap,"70 km/h, PET 4.0",0.11046511627906977,172.0,KP,6.0,1.5557595233220676,1.5557466566797662,,4.0,138.17893719673157,5.2059999999999995,0.0020427140794547992
overtake,0.5m C1,0.22093023255813954,172.0,K,3.0,0.0,0.0,-9.0,,,,
overtake,0.5m C2,0.22093023255813954,172.0,K,3.0,0.0,0.0,-9.0,,,,
overtake,0.5m C3,0.3953488372093023,172.0,K,3.0,0.0,0.0,-9.0,,,,
overtake,0.5m C4,0.5755813953488372,172.0,K,3.0,0.0,0.0,-9.0,,,,
overtake,0.5m C5,0.686046511627907,172.0,K,3.0,0.08721739422586168,0.0,-9.0,,,,
overtake,0.5m C1,0.22093023255813954,172.0,K,4.0,0.0,0.0,-9.0,,,,
overtake,0.5m C2,0.22093023255813954,172.0,K,4.0,0.0,0.0,-9.0,,,,
overtake,0.5m C3,0.3953488372093023,172.0,K,4.0,0.0,0.0,-9.0,,,,
overtake,0.5m C4,0.5755813953488372,172.0,K,4.0,0.0,0.0,-9.0,,,,
overtake,0.5m C5,0.686046511627907,172.0,K,4.0,0.08721739422586168,0.0,-9.0,,,,
overtake,0.5m C1,0.22093023255813954,172.0,K,5.0,0.0,0.0,-9.0,,,,
overtake,0.5m C2,0.22093023255813954,172.0,K,5.0,0.0,0.0,-9.0,,,,
overtake,0.5m C3,0.3953488372093023,172.0,K,5.0,0.0,0.0,-9.0,,,,
overtake,0.5m C4,0.5755813953488372,172.0,K,5.0,0.0,0.0,-9.0,,,,
overtake,0.5m C5,0.686046511627907,172.0,K,5.0,0.08721739422586168,0.0,-9.0,,,,
overtake,0.5m C1,0.22093023255813954,172.0,K,6.0,0.0,0.0,-9.0,,,,
overtake,0.5m C2,0.22093023255813954,172.0,K,6.0,0.0,0.0,-9.0,,,,
overtake,0.5m C3,0.3953488372093023,172.0,K,6.0,0.0,0.0,-9.0,,,,
overtake,0.5m C4,0.5755813953488372,172.0,K,6.0,0.0,0.0,-9.0,,,,
overtake,0.5m C5,0.686046511627907,172.0,K,6.0,0.08721739422586168,0.0,-9.0,,,,
overtake,0.5m C1,0.22093023255813954,172.0,P,3.0,0.00628422062076974,0.0,-9.0,,,,
overtake,0.5m C2,0.22093023255813954,172.0,P,3.0,0.10444997006428752,0.0,-9.0,,,,
overtake,0.5m C3,0.3953488372093023,172.0,P,3.0,0.14644371396412215,0.0,-9.0,,,,
overtake,0.5m C4,0.5755813953488372,172.0,P,3.0,0.23002377441882985,0.0,-9.0,,,,
overtake,0.5m C5,0.686046511627907,172.0,P,3.0,0.26794273938151275,0.0,-9.0,,,,
overtake,0.5m C1,0.22093023255813954,172.0,P,4.0,0.00628422062076974,0.0,-9.0,,,,
overtake,0.5m C2,0.22093023255813954,172.0,P,4.0,0.10444997006428752,0.0,-9.0,,,,
overtake,0.5m C3,0.3953488372093023,172.0,P,4.0,0.14644371396412215,0.0,-9.0,,,,
overtake,0.5m C4,0.5755813953488372,172.0,P,4.0,0.23002377441882985,0.0,-9.0,,,,
overtake,0.5m C5,0.686046511627907,172.0,P,4.0,0.26794273938151275,0.0,-9.0,,,,
overtake,0.5m C1,0.22093023255813954,172.0,P,5.0,0.00628422062076974,0.0,-9.0,,,,
overtake,0.5m C2,0.22093023255813954,172.0,P,5.0,0.10444997006428752,0.0,-9.0,,,,
overtake,0.5m C3,0.3953488372093023,172.0,P,5.0,0.14644371396412215,0.0,-9.0,,,,
overtake,0.5m C4,0.5755813953488372,172.0,P,5.0,0.23002377441882985,0.0,-9.0,,,,
overtake,0.5m C5,0.686046511627907,172.0,P,5.0,0.24478489083672994,0.0,-9.0,,,,
overtake,0.5m C1,0.22093023255813954,172.0,P,6.0,0.00628422062076974,0.0,-9.0,,,,
overtake,0.5m C2,0.22093023255813954,172.0,P,6.0,0.10444997006428752,0.0,-9.0,,,,
overtake,0.5m C3,0.3953488372093023,172.0,P,6.0,0.14644371396412215,0.0,-9.0,,,,
overtake,0.5m C4,0.5755813953488372,172.0,P,6.0,0.04976552141524786,0.0,-9.0,,,,
overtake,0.5m C5,0.686046511627907,172.0,P,6.0,0.031258027100295765,0.0,-9.0,,,,
overtake,0.5m C1,0.22093023255813954,172.0,KP,3.0,0.0,0.0,-9.0,,,,
overtake,0.5m C2,0.22093023255813954,172.0,KP,3.0,0.0,0.0,-9.0,,,,
overtake,0.5m C3,0.3953488372093023,172.0,KP,3.0,0.0,0.0,-9.0,,,,
