video,cp,dg,G_continue,dg_released
LC_dv14_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,105139.07849186043,128808.46916305802,1997762.6850503853
LC_dv14_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,120878.90495880667,147101.0275701713,154515.53211382584
LC_dv14_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,128549.03907370521,156792.12029607763,134855.87768850036
LC_dv14_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,130767.73485345057,161877.22315640168,103128.555798118
LC_dv14_Tlc4p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,4865.577647245398,21460.70977099512,1527421.3493810885
LC_dv14_Tlc4p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,122076.20570486218,142407.293939023,350495.03669493477
LC_dv14_Tlc4p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,140450.57361183595,161897.100839938,409509.07835632475
LC_dv14_Tlc4p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,143447.8979234573,165889.24134086166,92139.85018363372
LC_dv14_Tlc4p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,148224.7444280565,172867.06878310244,105301.2949177896
LC_dv14_Tlc4p0_TTC05_CP1_S5p033_E15p033.mp4,CP1,14121.125505665519,26277.87506565484,1402290.5554419677
LC_dv14_Tlc4p0_TTC05_CP2_S5p333_E15p333.mp4,CP2,98470.08173732607,118777.68173732606,243991.66680644604
LC_dv14_Tlc4p0_TTC05_CP4_S5p933_E15p933.mp4,CP4,138748.4767675366,159056.0767675366,90576.62668675375
LC_dv14_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,22474.52988021088,26614.501258192642,133463.77408370556
LC_dv14_Tlc4p0_TTC07_CP3_S5p667_E15p667.mp4,CP3,112437.47341240472,123388.8127067416,637935.1310033175
LC_dv14_Tlc4p0_TTC07_CP5_S6p267_E16p267.mp4,CP5,108183.04987030366,128490.64987030365,466211.43903763354
LC_dv21_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,70.53420063184421,13529.242145233657,7494476.388084829
LC_dv21_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,162323.85354897735,213483.16141936055,135602.4327391718
LC_dv21_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,166491.34745225823,225865.74671580864,141875.15447751412
LC_dv21_Tlc2p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,157868.05607487579,223366.50621027057,141997.8813246728
LC_dv21_Tlc2p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,148959.54172536323,224583.90499245285,118389.56631595055
LC_dv21_Tlc2p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,1174.445176314297,18605.72504167575,38365178.895162754
LC_dv21_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,176259.38819992947,211560.3257800062,287051.21242546174
LC_dv21_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,150751.8774400952,191583.30153124855,2846598.5283151288
LC_dv21_Tlc2p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,132624.58295690827,177641.09363647574,4423405.131100282
LC_dv21_Tlc2p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,120436.61673437718,170167.3538587705,38357461.37877575
LC_dv21_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,2955.814121661104,23046.1779260546,13032132.926159974
LC_dv21_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,136623.32548050518,158939.69251678349,2715580.364064882
LC_dv21_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,102309.33692272822,128206.14325928749,5395807.873608627
LC_dv21_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,70442.4717838384,99610.58138970981,3831262.281558055
LC_dv21_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,52088.403223009416,86074.42114307759,2612973.618533414
LC_dv21_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,11295.710653368937,28031.256178679734,73065.57542492458
LC_dv21_Tlc2p0_TTC05_CP2_S5p367_E15p367.mp4,CP2,108927.74550834324,129235.34550834323,4979272.604155227
LC_dv21_Tlc2p0_TTC05_CP4_S5p967_E15p967.mp4,CP4,55078.44434186035,75386.159115154,5315969.431265681
LC_dv21_Tlc2p0_TTC07_CP1_S5p033_E15p033.mp4,CP1,22162.770506148972,27286.245714760134,116260.8467476496
LC_dv21_Tlc2p0_TTC07_CP3_S5p633_E15p633.mp4,CP3,51965.24773109418,58088.977869674956,50504.813498473275
LC_dv21_Tlc2p0_TTC07_CP5_S6p233_E16p233.mp4,CP5,33745.17552461504,42855.559035667655,1189301.559627964
LC_dv21_Tlc3p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,334.8165903533991,13525.42355696752,20068398.43947059
LC_dv21_Tlc3p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,117281.80815597149,159237.5936986193,11941238.00012696
LC_dv21_Tlc3p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,198888.9329418917,248447.75276595406,51651362.40192609
LC_dv21_Tlc3p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,130998.113058628,188724.48705197562,143048.43215374433
LC_dv21_Tlc3p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,123752.39640005516,197697.97805430522,117278.02519548307
LC_dv21_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,1336.0980262444755,18975.427131951918,366318.7544089725
LC_dv21_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,164177.38595537818,193251.79165661827,209315.39847166673
LC_dv21_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,176784.90851524577,213415.2174795872,125464.24780004879
LC_dv21_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,177161.50463717262,218375.20292172846,3979640.548130167
LC_dv21_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,176889.67784273153,224354.97759661177,163076.28703329983
LC_dv21_Tlc3p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,3663.4125281284687,23465.829992107498,452100.6368001527
LC_dv21_Tlc3p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,171177.2979158318,193215.86140912387,3670250.6807060363
LC_dv21_Tlc3p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,175732.5607715541,201353.4143679472,189346.63041373994
LC_dv21_Tlc3p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,171409.72806740407,200319.4483688593,161473.38072072252
LC_dv21_Tlc3p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,166903.4954583778,200789.12378036085,3703424.919592439
LC_dv21_Tlc3p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,11290.106947050299,28028.781471264185,80678.24229856885
LC_dv21_Tlc3p0_TTC05_CP3_S5p667_E15p667.mp4,CP3,147418.35858677496,167725.96111922164,1253458.5741760496
LC_dv21_Tlc3p0_TTC05_CP5_S6p267_E16p267.mp4,CP5,129506.20299721698,150243.90660111752,2459457.6930773854
LC_dv21_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,20835.17886015542,29567.87769194995,21395259.824345592
LC_dv21_Tlc3p0_TTC06_CP2_S5p367_E15p367.mp4,CP2,127288.18223467482,147595.7822346748,93360.51555326598
LC_dv21_Tlc3p0_TTC06_CP4_S5p967_E15p967.mp4,CP4,109675.8653371272,129983.46533712719,197802.4880591889
LC_dv21_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,64.132754826991,13530.116263724442,667163.468842235
LC_dv21_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,92329.89823834566,126215.52609478652,9639680.634056183
LC_dv21_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,101302.07565137083,142132.24492570086,10702538.385667328
LC_dv21_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,106038.55851658521,148307.0353492031,379949.59083316504
LC_dv21_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,95544.8004354881,167175.5881960519,687983.2332218167
LC_dv21_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,1212.107458317063,18699.36239607982,8082559.331119299
LC_dv21_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,115935.50830583007,145183.14868797144,8546690.604041008
LC_dv21_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,137427.73775661088,172375.51250830857,147557.10653738063
LC_dv21_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,145578.67199998512,185092.6046302105,51619396.78431706
LC_dv21_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,146869.23999193945,191876.19688202845,156235.92977893524
LC_dv21_Tlc4p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,2956.5533323874442,23048.916029264587,25655593.950079218
LC_dv21_Tlc4p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,144000.64290667608,165629.73404309154,388883.0747942271
LC_dv21_Tlc4p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,165547.75917697753,190248.1610648015,118103.8728761313
