video,cp,p,n,ttc_start,ttc_true,distance,dv_kph,theta_dot,gate_g1,pred_B-log,pred_B-lin,pred_C,pred_C-log
LC_dv21_Tlc3p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,0.4583333333333333,12,4.0,3.1,18.08333333333333,21.0,0.03348150942630854,0.9953112994612481,0.5308462433538083,0.44673047975876623,0.448232061029482,0.5291945596470379
LC_dv21_Tlc3p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,0.5833333333333334,12,4.0,2.8,16.333333333333332,21.0,0.041015466162458554,0.999609717310084,0.590487894615475,0.5153510458621409,0.5187195552712198,0.5913963273119847
LC_dv21_Tlc3p0_TTC05_CP3_S5p667_E15p667.mp4,CP3,0.25,12,5.0,4.4,25.666666666666668,21.0,0.016642329532910408,0.9942523901108805,0.3268551776797971,0.3221109391903884,0.3212541105386705,0.32144247336844695
LC_dv21_Tlc3p0_TTC05_CP5_S6p267_E16p267.mp4,CP5,0.2916666666666667,12,5.0,3.8,22.166666666666664,21.0,0.02230250754251088,0.9996139759479503,0.4089723018978422,0.367132440667379,0.3667176923787683,0.40424856343148674
LC_dv21_Tlc3p0_TTC06_CP2_S5p367_E15p367.mp4,CP2,0.1666666666666666,12,6.0,5.7,33.25,21.0,0.009922141412749644,0.928353334320949,0.19768518253533154,0.2726760036496847,0.27136568872493977,0.19802661591676451
LC_dv21_Tlc3p0_TTC06_CP4_S5p967_E15p967.mp4,CP4,0.0416666666666666,12,6.0,5.1,29.75,21.0,0.012391622949399023,0.9951997951317513,0.26079761016327213,0.3092318082533249,0.3077323462242584,0.2583988387858492
LC_dv21_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,0.6153846153846154,13,2.0,1.7,9.916666666666666,21.0,0.11063995346127804,0.7726114797953868,0.6452453861149562,0.7457998737332193,0.7360959470534905,0.6443741722957477
LC_dv21_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,0.9166666666666666,12,2.0,1.4,8.166666666666666,21.0,0.16244962185343506,0.9377753899706929,0.838778730940836,0.9368046208505719,0.9320946058415264,0.8363960452165012
LC_dv21_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,0.8846153846153846,13,2.0,1.1,6.416666666666667,21.0,0.2610216431760088,0.9326679077682407,0.8821029429990489,0.9326678886596813,0.9325657959350687,0.8757468860963707
LC_dv21_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,0.9166666666666666,12,2.0,0.8,4.666666666666667,21.0,0.484411065547997,0.9795949669416939,0.9603810290480853,0.9795949669894249,0.9795949566816348,0.9526157296257469
