a_other_min,response_time,a_max,tau_inv_mu,collision_ref_speed,counterfactual_residual_severity,rho_gap,rho_p,rows,n_rows
-4.0,1.0,12.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-4.0,2.0,12.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-10.0,2.0,4.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-2.0,0.5,4.0,0.2,1000000.0,True,-0.2555740155413291,0.5146759800904815,3,24
-2.0,0.5,8.0,0.2,1000000.0,False,-0.25548509104878947,0.5146649248982882,3,24
-2.0,1.0,8.0,0.2,1000000.0,False,-0.2551826472945024,0.5144963332173386,3,24
-2.0,2.0,12.0,0.2,1000000.0,False,-0.2535541233251974,0.5133262416254132,3,24
-2.0,0.5,4.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-4.0,2.0,8.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-2.0,0.5,8.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-10.0,2.0,12.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-4.0,1.0,4.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-4.0,2.0,4.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-10.0,1.0,4.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-10.0,0.5,12.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-4.0,0.5,12.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-4.0,1.0,8.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-10.0,0.5,8.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-10.0,1.0,12.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-4.0,0.5,8.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-2.0,2.0,8.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-2.0,2.0,12.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-2.0,2.0,4.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-10.0,2.0,8.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-6.0,2.0,12.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-6.0,0.5,4.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-6.0,0.5,8.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-2.0,1.0,12.0,0.1,1000000.0,False,-0.2486662906250991,0.509071751411526,3,24
-2.0,1.0,4.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-6.0,1.0,8.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-6.0,1.0,4.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-10.0,2.0,4.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-4.0,0.5,4.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-4.0,2.0,12.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-4.0,1.0,12.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-10.0,1.0,8.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-6.0,0.5,12.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-2.0,1.0,8.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-6.0,2.0,8.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-10.0,0.5,4.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-2.0,1.0,12.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-6.0,1.0,12.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-2.0,0.5,12.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-2.0,0.5,12.0,0.1,1000000.0,False,-0.2486662906250991,0.509071751411526,3,24
-6.0,2.0,4.0,0.1,1000000.0,True,-0.2486662906250991,0.509071751411526,3,24
-2.0,0.5,8.0,0.1,1000000.0,False,-0.24848015206868157,0.5089732596992574,3,24
-2.0,1.0,8.0,0.1,1000000.0,False,-0.24805110395213478,0.5086767795449795,3,24
-2.0,2.0,12.0,0.1,1000000.0,False,-0.24746254438710596,0.5081265324789893,3,24
-4.0,0.5,12.0,0.2,1000000.0,False,-0.24710207363344985,0.5084792936117063,2,24
-4.0,0.5,12.0,0.1,1000000.0,False,-0.2385077977485458,0.5014680404717712,2,24
-2.0,2.0,8.0,0.4,1000000.0,False,-0.2334180009467475,0.4991517264528834,0,24
-2.0,2.0,8.0,0.2,1000000.0,False,-0.222180858999672,0.48941461467416814,0,24
-2.0,2.0,8.0,0.1,1000000.0,False,-0.21502193495197436,0.4833490829755057,0,24
-4.0,1.0,12.0,0.4,1000000.0,False,-0.17517848711248998,0.4507438036359827,0,24
-4.0,1.0,12.0,0.2,1000000.0,False,-0.1634813995556971,0.4408649843936974,0,24
-2.0,0.5,8.0,0.4,30.0,True,-0.16195737442508262,0.4374182769730333,3,24
-2.0,0.5,12.0,0.4,30.0,False,-0.16195737442508262,0.4374182769730333,3,24
-2.0,0.5,12.0,0.4,30.0,True,-0.16195737442508262,0.4374182769730333,3,24
-2.0,1.0,12.0,0.4,30.0,False,-0.16195737442508262,0.4374182769730333,3,24
-2.0,1.0,12.0,0.4,30.0,True,-0.16195737442508262,0.4374182769730333,3,24
-2.0,0.5,8.0,0.4,30.0,False,-0.16195737442508262,0.4374182769730333,3,24
-2.0,1.0,8.0,0.4,30.0,True,-0.161313551051131,0.4368815976429168,3,24
-2.0,1.0,8.0,0.4,30.0,False,-0.16061873425349135,0.4363029588333389,3,24
