video,cp,eps,epistemic,g_alpha1,eps_continue,dg_planner,min_eps,p,n,ttc_start,ttc_true,distance
LC_dv07_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,450021.4349000943,33.94060988369165,449987.4942902106,450021.4349000943,387006.7456208853,63014.68927920901,0.0,25,3.0,3.0,5.833333333333333
LC_dv07_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,450251.647477012,31.715220377373043,450219.93225663464,450251.647477012,384718.693128832,65532.954348180036,0.6538461538461539,13,3.0,2.7,5.25
LC_dv07_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,450021.4347912811,80.72716498665977,449940.70762629446,450021.4347912811,384771.7073578224,65249.72743345873,0.9583333333333334,12,3.0,2.4,4.666666666666666
LC_dv07_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,450018.25802032836,48.262021078553516,449969.9959992498,450018.2580203284,381115.7698915629,68902.48812876554,0.8461538461538461,13,3.0,2.1,4.083333333333333
LC_dv07_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,458226.6064956881,96.54336330539081,458130.0631323827,458226.6064956881,376649.7497598518,81576.8567358363,0.9583333333333334,12,3.0,1.8,3.5
LC_dv07_Tlc4p0_TTC04_CP1_S5p033_E15p033.mp4,CP1,450017.90763832664,80.04615657532122,449937.8614817513,450017.9076383266,387193.1544846117,62824.753153714875,0.02,25,4.0,4.0,7.777777777777778
LC_dv07_Tlc4p0_TTC04_CP2_S5p333_E15p333.mp4,CP2,450020.7299311774,33.367667500453535,449987.36226367694,450020.7299311774,387129.1099175345,62891.62001364288,0.5769230769230769,13,4.0,3.7,7.194444444444445
LC_dv07_Tlc4p0_TTC04_CP3_S5p633_E15p633.mp4,CP3,450202.76399319334,88.26010527316248,450114.5038879202,450202.7639931933,387109.0558396392,63093.708153554064,0.7083333333333334,12,4.0,3.4,6.611111111111111
LC_dv07_Tlc4p0_TTC04_CP4_S5p933_E15p933.mp4,CP4,450022.41588597314,33.705893864273094,449988.70999210887,450022.41588597314,381151.5999355936,68870.81595037953,0.7307692307692307,13,4.0,3.1,6.027777777777778
LC_dv07_Tlc4p0_TTC04_CP5_S6p233_E16p233.mp4,CP5,450020.7300312857,37.91762638470391,449982.812404901,450020.7300312857,387099.6425218088,62921.08750947693,0.8333333333333334,12,4.0,2.8,5.444444444444444
