cp,p,n,ttc_start,ttc_true,distance,lcd,gate_E,gate_G,gate_R,gate_G.1,gate_JJ.6e
CP5,1.0,13,2.0,0.8,3.111111111111111,2.0,1.0,1.0,1.0,0.9999999973645194,0.9999999935686468
CP1,0.0576923076923076,26,3.0,3.0,11.666666666666666,2.0,0.005902054704721937,7.410769429902051e-06,8.977038532395828e-13,0.0686582649460838,0.0508817524756282
CP2,0.9615384615384616,13,3.0,2.7,10.5,2.0,0.9998460267273209,0.9999999999998049,1.0,0.9980916639635253,0.9969506241891247
CP3,0.8076923076923077,13,3.0,2.4,9.333333333333332,2.0,0.9999969510243034,1.0,1.0,0.9999971926735736,0.999994329833734
CP4,0.9230769230769232,13,3.0,2.1,8.166666666666666,2.0,0.9999969510243034,1.0,1.0,0.999998640030944,0.9999971926735736
CP5,0.8846153846153846,13,3.0,1.8,7.0,2.0,1.0,1.0,1.0,0.9999999980320942,0.9999999951634568
CP1,0.0192307692307692,26,4.0,4.0,15.555555555555555,2.0,0.005998859683089441,8.066986307803932e-06,1.1168656277743225e-12,0.06959850821849405,0.051625511135871986
CP2,0.6923076923076923,13,4.0,3.7,14.38888888888889,2.0,0.9998437399955485,0.999999999999793,1.0,0.9980731718505069,0.9969223714464196
CP3,0.4615384615384615,13,4.0,3.4,13.22222222222222,2.0,0.9999961887803792,1.0,1.0,0.9999959135900139,0.9999918410003159
CP4,0.8076923076923077,13,4.0,3.1,12.055555555555555,2.0,0.9999969510243034,1.0,1.0,0.9999980359568056,0.9999959899465021
CP5,0.6538461538461539,13,4.0,2.8,10.888888888888888,2.0,1.0,1.0,1.0,0.9999999982373063,0.9999999956562385
CP1,0.0,13,5.0,5.0,19.444444444444443,2.0,0.0058349772393964106,6.889111345094512e-06,7.438799586057995e-13,0.0678601653862488,0.05025105715809491
CP3,0.3076923076923077,13,5.0,4.4,17.11111111111111,2.0,0.9999969510243034,1.0,1.0,0.9999971246462699,0.9999941966731881
CP5,0.4615384615384615,13,5.0,3.8,14.777777777777777,2.0,1.0,1.0,1.0,0.9999999979586583,0.9999999949874311
CP1,0.1153846153846153,13,6.0,6.0,23.33333333333333,2.0,0.005918824071053375,7.50129478147084e-06,9.262108465573733e-13,0.06879198247347547,0.05098747843911339
CP2,0.4230769230769231,13,6.0,5.7,22.166666666666668,2.0,0.999841453263776,0.9999999999997671,1.0,0.9980356984122977,0.9968651577392944
CP4,0.5,13,6.0,5.1,19.83333333333333,2.0,0.9999969510243034,1.0,1.0,0.9999985782918679,0.9999970690912174
CP1,0.0,24,2.0,2.0,7.777777777777778,3.0,0.005935593437384701,7.59287389778073e-06,9.556053235188278e-13,0.06892590070714696,0.051093379192690754
