video,cp,p_change,gc_1,gc_2,gc_3,gc_4,gc_6,gj_1,gj_2,gj_3,gj_4,gj_6,p,n,ttc_start,ttc_true,distance,dv_kph,x_looming,gate_g1
LC_dv07_Tlc4p0_TTC04_CP3_S5p633_E15p633.mp4,CP3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7083333333333334,12,4.0,3.4,6.611111111111111,7.0,-2.5002492060565444,0.9238297539142435
LC_dv07_Tlc4p0_TTC04_CP4_S5p933_E15p933.mp4,CP4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7307692307692307,13,4.0,3.1,6.027777777777778,7.0,-2.3195237816851915,0.926822193570497
LC_dv07_Tlc4p0_TTC04_CP5_S6p233_E16p233.mp4,CP5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,12,4.0,2.8,5.444444444444444,7.0,-2.121315140754475,0.962030203687582
LC_dv07_Tlc4p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.095,0.185,0.275,0.335,0.41,0.0416666666666666,12,6.0,6.0,11.666666666666666,7.0,-3.622644705660919,0.06720057157626495
LC_dv07_Tlc4p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4583333333333333,12,6.0,5.4,10.5,7.0,-3.413438661840392,0.9350050115796908
LC_dv07_Tlc4p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7083333333333334,12,6.0,4.8,9.333333333333332,7.0,-3.179986742961797,0.9812279667544027
LC_dv07_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.095,0.185,0.27,0.335,0.405,0.0384615384615384,13,7.0,7.0,13.61111111111111,7.0,-3.9292297803881033,0.0656377762174264
LC_dv07_Tlc4p0_TTC07_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3076923076923077,13,7.0,6.7,13.02777777777778,7.0,-3.8420599656626147,0.6799921212760437
LC_dv07_Tlc4p0_TTC07_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5769230769230769,13,7.0,6.1,11.86111111111111,7.0,-3.655493105635152,0.9404527838944867
LC_dv14_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.095,0.185,0.27,0.295,0.305,0.0769230769230769,26,2.0,2.0,7.777777777777778,14.0,-2.126614252395814,0.06759573037040566
LC_dv14_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769232,13,2.0,1.7,6.611111111111111,14.0,-1.8071020254965993,0.997492437067318
LC_dv14_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13,2.0,1.4,5.444444444444444,14.0,-1.4281679601945294,0.9999971246462699
LC_dv14_Tlc2p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769232,13,2.0,1.1,4.277777777777778,14.0,-0.9636630946851306,0.9999986797519633
LC_dv14_Tlc2p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13,2.0,0.8,3.111111111111111,14.0,-0.36704016867923733,0.9999999973645194
LC_dv14_Tlc2p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.095,0.185,0.28,0.325,0.345,0.0576923076923076,26,3.0,3.0,11.666666666666666,14.0,-2.9294975251009734,0.0686582649460838
