video,p,n,deficit_max,distance,ttc_true,dv_kph,cp,lcd,ttc_start,gap_trace,vrel_trace,p_lane_end,a_req
LC_dv07_Tlc3p0_TTC02_CP5_S6p267_E16p267.mp4,0.9583333333333334,12,7299.899077556313,1.5555555555555556,0.8,7.0,CP5,3.0,2.0,3.219000000000036,1.809000000000001,0.9995476487041854,1.215277777777778
LC_dv07_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,0.041666666666666664,24,991.9828671669591,5.833333333333333,3.0,7.0,CP1,3.0,3.0,7.42400000000002,1.8049999999999997,0.0,0.3240740740740741
LC_dv07_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,0.75,12,6570.221469019613,5.25,2.7,7.0,CP2,3.0,3.0,6.864999999999994,1.8119999999999976,1.0,0.360082304526749
LC_dv07_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,0.875,12,6570.221469019613,4.666666666666666,2.4,7.0,CP3,3.0,3.0,6.300999999999973,1.811,1.0,0.40509259259259267
LC_dv07_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,0.7916666666666666,12,6909.8972923778165,4.083333333333333,2.1,7.0,CP4,3.0,3.0,5.7420000000000035,1.8099999999999987,1.0,0.46296296296296297
LC_dv07_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,0.8333333333333334,12,6909.8972923778165,3.5,1.8,7.0,CP5,3.0,3.0,5.177000000000006,1.809000000000001,1.0,0.5401234567901235
LC_dv07_Tlc3p0_TTC04_CP1_S5p033_E15p033.mp4,0.0625,24,991.9828671669591,7.777777777777778,4.0,7.0,CP1,3.0,4.0,9.480000000000004,1.8049999999999997,0.0,0.24305555555555558
LC_dv07_Tlc3p0_TTC04_CP2_S5p333_E15p333.mp4,0.375,12,5267.35771331313,7.194444444444445,3.7,7.0,CP2,3.0,4.0,8.922999999999988,1.666999999999998,1.0,0.2627627627627628
LC_dv07_Tlc3p0_TTC04_CP3_S5p633_E15p633.mp4,0.5833333333333334,12,6376.719700382519,6.611111111111111,3.4,7.0,CP3,3.0,4.0,8.363999999999962,1.811,1.0,0.2859477124183007
LC_dv07_Tlc3p0_TTC04_CP4_S5p933_E15p933.mp4,0.875,12,6503.87686874542,6.027777777777778,3.1,7.0,CP4,3.0,4.0,7.809000000000011,1.6649999999999991,1.0,0.31362007168458783
LC_dv07_Tlc3p0_TTC04_CP5_S6p233_E16p233.mp4,0.75,12,6503.87686874542,5.444444444444444,2.8,7.0,CP5,3.0,4.0,7.245000000000046,1.809000000000001,1.0,0.34722222222222227
LC_dv07_Tlc3p0_TTC05_CP1_S5p067_E15p067.mp4,0.041666666666666664,12,1005.6933146023938,9.72222222222222,5.0,7.0,CP1,3.0,5.0,11.286999999999964,1.8049999999999997,0.0,0.19444444444444448
LC_dv07_Tlc3p0_TTC05_CP3_S5p667_E15p667.mp4,0.75,12,5866.500913837934,8.555555555555555,4.4,7.0,CP3,3.0,5.0,10.170000000000002,1.8079999999999998,1.0,0.22095959595959597
LC_dv07_Tlc3p0_TTC05_CP5_S6p267_E16p267.mp4,0.6666666666666666,12,6008.898811615783,7.388888888888888,3.8,7.0,CP5,3.0,5.0,9.045999999999978,1.809000000000001,1.0,0.2558479532163743
