video,cp,dg_menu,best,dg_steer,best_steer,dg_planner,eps_continue,a_first,omega_max,steers,brakes
LC_dv07_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,139599.92666715514,brake,149226.93757525116,steer,387069.45111704426,450299.7145667882,0.4142368022403673,0.25586155058765725,True,False
LC_dv07_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,134968.76379022244,brake,146559.07335247195,steer,364030.3350236262,457851.7895070491,-0.034812154308835774,0.16966918415614618,True,False
LC_dv07_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,130330.73709193937,brake,142511.84298679457,steer,387263.82494344126,450020.7299311774,0.4142368022403673,0.25586155058765725,True,False
LC_dv07_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,125309.69070382771,brake,138840.99439620425,steer,377127.57201880217,457741.2400618138,0.7990519300967418,0.31421441334152905,True,False
LC_dv07_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,11914.702653171289,ease_off,13034.13656404765,steer,387006.74562088534,450021.4349000943,0.4142368022403673,0.25586155058765725,True,False
LC_dv07_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,149794.94862323444,brake,155822.50138375588,steer,384718.693128832,450251.647477012,0.09960899138779433,0.20324899994506498,True,False
LC_dv07_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,147917.91784957552,brake,156313.6575877439,steer,384771.7073578224,450021.4347912811,0.09960899138779433,0.20324899994506498,True,False
LC_dv07_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,144668.71056275352,brake,153234.59394117323,steer,381115.76989156293,450018.25802032836,0.5921091637800824,0.203799348919384,True,False
LC_dv07_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,142871.27133690641,brake,153121.13746062413,steer,376649.7497598518,458226.6064956881,1.555184917313999,0.3121315751167094,True,False
LC_dv07_Tlc4p0_TTC04_CP1_S5p033_E15p033.mp4,CP1,17896.496985723606,ease_off,17896.496985723606,ease_off,387193.1544846117,450017.90763832664,0.4142368022403673,0.25586155058765725,True,False
LC_dv07_Tlc4p0_TTC04_CP2_S5p333_E15p333.mp4,CP2,151192.85836533058,brake,153546.15126261176,steer,387129.1099175345,450020.7299311774,0.4142368022403673,0.25586155058765725,True,False
LC_dv07_Tlc4p0_TTC04_CP3_S5p633_E15p633.mp4,CP3,151300.5984100708,brake,156324.61993617148,steer,387109.0558396392,450202.76399319334,0.4142368022403673,0.25586155058765725,True,False
LC_dv07_Tlc4p0_TTC04_CP4_S5p933_E15p933.mp4,CP4,151603.53612208157,brake,158610.34962094697,steer,381151.5999355936,450022.41588597314,0.5921091637800824,0.203799348919384,True,False
LC_dv07_Tlc4p0_TTC04_CP5_S6p233_E16p233.mp4,CP5,151028.59924204394,brake,158508.85995299666,steer,387099.6425218088,450020.7300312857,0.4142368022403673,0.25586155058765725,True,False
LC_dv07_Tlc4p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,23352.934003986175,ease_off,23352.934003986175,ease_off,386871.6632471976,450020.7300312857,0.4142368022403673,0.25586155058765725,True,False
LC_dv07_Tlc4p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,140197.36575474445,brake,140197.36575474445,brake,384745.22366986366,450550.4383666352,0.09960899138779433,0.20324899994506498,True,False
LC_dv07_Tlc4p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,149364.80341225694,brake,155678.1481577682,steer,383398.5516122801,451626.33171261835,-0.1,0.17235574683347038,True,False
LC_dv07_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,24795.96142480288,ease_off,24795.96142480288,ease_off,386358.4249275886,451910.548562315,0.4142368022403673,0.25586155058765725,True,False
LC_dv07_Tlc4p0_TTC07_CP2_S5p367_E15p367.mp4,CP2,137028.507905038,ease_off,137028.507905038,ease_off,387139.4726118354,450020.7299311774,0.4142368022403673,0.25586155058765725,True,False
LC_dv07_Tlc4p0_TTC07_CP4_S5p967_E15p967.mp4,CP4,137639.5370248431,brake,139256.43614703952,steer,381036.29235864675,450021.53540859564,0.5921091637800823,0.203799348919384,True,False
LC_dv14_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,7810.58290260797,ease_off,14662.09063949692,steer,385330.2527559552,450020.6687483003,0.7815018558473353,0.331289412949867,True,False
LC_dv14_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,155647.7722062091,brake,177263.6426932625,steer,385266.87068316364,450415.95253920235,0.7815018558473353,0.331289412949867,True,False
LC_dv14_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,151134.05169731422,brake,176486.2130413219,steer,391915.40999457875,457168.93204297737,0.6882740463206256,0.23583542220924247,True,False
LC_dv14_Tlc2p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,145880.71286878778,brake,173625.7210435664,steer,387235.4770160855,450020.6686292214,0.8593258139165416,0.29289902872390483,True,False
LC_dv14_Tlc2p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,138140.62719223928,brake,165727.79324281352,swerve,379259.27631421806,458642.4346996507,0.20848360577803401,0.2101161223850611,True,False
LC_dv14_Tlc2p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,33307.3660253453,brake,41291.11150483267,steer,385018.13326286344,450022.4526836357,0.7815018558473353,0.331289412949867,True,False
LC_dv14_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,177446.25912536943,brake,190340.83550629116,steer,385113.1986142885,450340.80478268664,0.7815018558473353,0.331289412949867,True,False
