video,cp,p_change,C_0,a_0,none_0,cont_0,p_collide_continue,C_0.01,a_0.01,none_0.01,cont_0.01,C_0.05,a_0.05,none_0.05,cont_0.05,C_0.1,a_0.1,none_0.1,cont_0.1,C_0.2,a_0.2,none_0.2,cont_0.2,p,n,ttc_start,ttc_true,distance,dv_kph
LC_dv14_Tlc2p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,1.0,2631.1187500000005,3.25,False,False,1.0,2631.1187500000005,3.25,False,False,1883.8187500000004,2.75,False,False,1556.875,2.5,False,False,1261.06875,2.25,False,False,1.0,13,2.0,0.8,3.111111111111111,14.0
LC_dv14_Tlc2p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,389.21875,1.25,False,False,0.075,249.10000000000005,1.0,False,False,62.27500000000001,0.5,False,False,0.0,0.0,False,True,0.0,0.0,False,True,0.0576923076923076,26,3.0,3.0,11.666666666666666,14.0
LC_dv14_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,1.0,1261.06875,2.25,False,False,0.955,996.4000000000002,2.0,False,False,560.475,1.5,False,False,389.21875,1.25,False,False,389.21875,1.25,False,False,0.9615384615384616,13,3.0,2.7,10.5,14.0
LC_dv14_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,1.0,1261.06875,2.25,False,False,0.965,996.4000000000002,2.0,False,False,762.8687500000001,1.75,False,False,560.475,1.5,False,False,389.21875,1.25,False,False,0.8076923076923077,13,3.0,2.4,9.333333333333332,14.0
LC_dv14_Tlc2p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,1.0,1261.06875,2.25,False,False,0.965,1261.06875,2.25,False,False,762.8687500000001,1.75,False,False,560.475,1.5,False,False,389.21875,1.25,False,False,0.9230769230769232,13,3.0,2.1,8.166666666666666,14.0
LC_dv14_Tlc2p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,1.0,1556.875,2.5,False,False,0.98,1261.06875,2.25,False,False,762.8687500000001,1.75,False,False,560.475,1.5,False,False,560.475,1.5,False,False,0.8846153846153846,13,3.0,1.8,7.0,14.0
LC_dv14_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,249.10000000000005,1.0,False,False,0.06,140.11875000000003,0.75,False,False,62.27500000000001,0.5,False,False,0.0,0.0,False,True,0.0,0.0,False,True,0.0192307692307692,26,4.0,4.0,15.555555555555555,14.0
LC_dv14_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,1.0,996.4000000000002,2.0,False,False,0.895,762.8687500000001,1.75,False,False,389.21875,1.25,False,False,249.10000000000005,1.0,False,False,249.10000000000005,1.0,False,False,0.6923076923076923,13,4.0,3.7,14.38888888888889,14.0
LC_dv14_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,1.0,996.4000000000002,2.0,False,False,0.915,996.4000000000002,2.0,False,False,560.475,1.5,False,False,389.21875,1.25,False,False,249.10000000000005,1.0,False,False,0.4615384615384615,13,4.0,3.4,13.22222222222222,14.0
LC_dv14_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,1.0,996.4000000000002,2.0,False,False,0.925,996.4000000000002,2.0,False,False,560.475,1.5,False,False,389.21875,1.25,False,False,249.10000000000005,1.0,False,False,0.8076923076923077,13,4.0,3.1,12.055555555555555,14.0
