video,cp,p_change,share_in_path,eps_in_path,eps_none,eps_continuous,price,a_star,p,n,ttc_start,ttc_true,distance,dv_kph
LC_dv14_Tlc3p0_TTC02_CP4_S5p933_E15p933.mp4,CP4,1.0,1.0,699.2520344442825,724.5209239189766,636.0937780075328,0.0,7.0,0.875,12,2.0,1.1,4.277777777777778,14.0
LC_dv14_Tlc3p0_TTC02_CP5_S6p233_E16p233.mp4,CP5,1.0,1.0,697.6562300260771,714.074809019668,625.0082175437374,0.1622301003486501,8.0,1.0,12,2.0,0.8,3.111111111111111,14.0
LC_dv14_Tlc3p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,54.300208566631,591022.6161069921,54.77436260192022,0.0,2.0,0.0833333333333333,24,3.0,3.0,11.666666666666666,14.0
LC_dv14_Tlc3p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,799.3060172460303,804.8634406237038,804.0278627094826,0.0,3.25,0.7083333333333334,12,3.0,2.7,10.5,14.0
LC_dv14_Tlc3p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,821.9902521733711,827.254796841396,826.4421165537194,0.0,4.0,0.8333333333333334,12,3.0,2.4,9.333333333333332,14.0
LC_dv14_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,711.6218988196019,714.9753524125863,714.9065011087673,0.0,5.5,0.875,12,3.0,2.1,8.166666666666666,14.0
LC_dv14_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,707.3907098531861,709.5764961347772,709.5156715171645,0.02569222001335242,8.0,1.0,12,3.0,1.8,7.0,14.0
LC_dv14_Tlc3p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,51.0873074363528,8424248.340042891,51.19825692936075,0.0,1.5,0.0,24,4.0,4.0,15.555555555555555,14.0
LC_dv14_Tlc3p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,779.05682238036,780.0356214849047,780.0356214849047,0.0,2.5,0.4583333333333333,12,4.0,3.7,14.38888888888889,14.0
LC_dv14_Tlc3p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,694.307574889585,695.2810214731375,695.2810214731375,0.0,3.0,0.7083333333333334,12,4.0,3.4,13.22222222222222,14.0
LC_dv14_Tlc3p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,737.2675266771433,737.9660435102112,737.9660435102112,0.0,4.0,0.6666666666666666,12,4.0,3.1,12.055555555555555,14.0
LC_dv14_Tlc3p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,791.931780161776,792.3105228616083,792.3105228616083,3.6570092270205024e-06,8.0,0.7916666666666666,12,4.0,2.8,10.888888888888888,14.0
LC_dv14_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,59.46368574924588,155532.42416649035,59.46693102792028,0.0,1.0,0.0416666666666666,12,6.0,6.0,23.33333333333333,14.0
LC_dv14_Tlc3p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,1.0,1.0,698.185547712798,698.1883478057601,698.1883478057601,0.0,2.0,0.2916666666666667,12,6.0,5.4,21.0,14.0
LC_dv14_Tlc3p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,1.0,1.0,724.7158140489526,724.7158657255442,724.7158657255442,0.0,2.0,0.4166666666666667,12,6.0,4.8,18.666666666666664,14.0
LC_dv14_Tlc3p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,48.31744025458215,7052.835660584962,48.31845168439622,0.0,1.0,0.0416666666666666,12,7.0,7.0,27.22222222222222,14.0
LC_dv14_Tlc3p0_TTC07_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,505.2274391219293,505.2275663826293,505.2275663826293,0.0,1.75,0.2083333333333333,12,7.0,6.7,26.05555555555556,14.0
LC_dv14_Tlc3p0_TTC07_CP4_S5p967_E15p967.mp4,CP4,1.0,1.0,640.2885823909206,640.2885823909206,640.2885823909206,0.0,2.0,0.4583333333333333,12,7.0,6.1,23.72222222222222,14.0
LC_dv14_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,0.07000000000000002,0.085,57.27897361648888,288684.1008839351,54.82656592673638,0.0,2.5,0.0416666666666666,24,2.0,2.0,7.777777777777778,14.0
LC_dv14_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,1.0,1.0,634.4649288323665,665.3822662178225,578.411595543799,0.0,3.75,0.7916666666666666,12,2.0,1.7,6.611111111111111,14.0
