video,cp,p,n,ttc_start,ttc_true,distance,dv_kph,x_rel,v_ego,v_oth,l0,ldot,gate_g1,demand_P1,demand_P2,demand_released
LC_dv21_Tlc4p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,0.625,12,4.0,2.8,16.333333333333332,21.0,22.095031133463976,30.683,24.988,0.7279999999999995,-0.8933333333333326,0.9830904593602893,12.85588979064165,1.6945099001083666,12.190046752612716
LC_dv21_Tlc4p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,0.0,12,6.0,6.0,35.0,21.0,40.654669191119666,30.683,24.991,1.6480000000000004,-0.003333333333334447,0.06628548183858271,8.52952508073967,0.5758227877329712,8.23122479842435
LC_dv21_Tlc4p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,0.125,12,6.0,5.4,31.5,21.0,37.21510921504093,30.683,24.988,1.2150000000000005,-0.8533333333333312,0.9343622237825722,9.098658716912578,0.6568019751861237,8.760012331825365
LC_dv21_Tlc4p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,0.3333333333333333,12,6.0,4.8,28.0,21.0,33.771037933388115,30.683,24.988,0.74,-0.8933333333333326,0.9825751718430129,9.747561835206008,0.7632723122703163,9.359918417902906
LC_dv21_Tlc4p0_TTC07_CP1_S5p033_E15p033.mp4,CP1,0.0384615384615384,13,7.0,7.0,40.83333333333333,21.0,46.90474635650842,30.683,24.991,1.6520000000000008,-0.0033333333333285253,0.06576692324313017,7.6618121214921295,0.4711500306587218,7.420257782764004
LC_dv21_Tlc4p0_TTC07_CP2_S5p333_E15p333.mp4,CP2,0.0769230769230769,13,7.0,6.7,39.083333333333336,21.0,45.18319354943406,30.683,24.987,1.5020000000000004,-0.5000000000000012,0.5590199287179077,7.8848941052379224,0.4967422560497742,7.629303373734824
LC_dv21_Tlc4p0_TTC07_CP4_S5p933_E15p933.mp4,CP4,0.2307692307692307,13,7.0,6.1,35.58333333333333,21.0,41.74420356189065,30.683,24.988,1.034999999999999,-0.7866666666666718,0.9317416850449286,8.366249330045857,0.5549950211904644,8.07906786245771
LC_dv28_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,0.0576923076923076,26,2.0,2.0,15.555555555555555,28.0,20.998507603795975,32.626,24.991,1.6340000000000001,-0.003333333333334447,0.06812539860546084,15.845612381937558,4.4610972034479275,14.955117969483101
LC_dv28_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,0.7307692307692307,13,2.0,1.7,13.22222222222222,28.0,18.67722196132198,32.626,24.978,1.2369999999999999,-1.3233333333333341,0.9981992703970146,17.051521779949542,6.964612080375205,16.02472153599594
LC_dv28_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,0.9230769230769232,13,2.0,1.4,10.888888888888888,28.0,16.359946911772045,32.626,24.981,0.7739999999999998,-1.7100000000000026,0.9999973241348752,18.411003633685922,15.503361032341859,17.219666888577084
LC_dv28_Tlc2p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,0.9615384615384616,13,2.0,1.1,8.555555555555555,28.0,14.03755078747916,32.626,24.983,0.2949999999999997,-1.5966666666666671,0.999998640030944,20.01302698384632,inf,18.613224607006728
LC_dv28_Tlc2p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,0.9615384615384616,13,2.0,0.8,6.222222222222222,28.0,11.723233143382839,32.626,24.986,-0.1999999999999995,-1.8300000000000014,0.999999998160105,21.909372308650706,inf,20.242769203575715
LC_dv28_Tlc2p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,0.0384615384615384,26,3.0,3.0,23.33333333333333,28.0,28.77750791396038,32.626,24.991,1.6389999999999991,-0.006666666666671854,0.06879198247347547,12.86589457063621,2.0364434154527493,12.272549800214044
LC_dv28_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,0.5384615384615384,13,3.0,2.7,21.0,28.0,26.456229973805357,32.626,24.977,1.251000000000001,-1.2933333333333272,0.9974924370673178,13.651149645527106,2.442434566588325,12.985041277383141
LC_dv28_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,0.5,13,3.0,2.4,18.666666666666664,28.0,24.133957876721187,32.626,24.98,0.7929999999999999,-1.690000000000002,0.9999961019290455,14.510825714307398,3.0265878535725803,13.760485520293638
LC_dv28_Tlc2p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,0.6923076923076923,13,3.0,2.1,16.333333333333332,28.0,21.810560230095188,32.626,24.983,0.3109999999999997,-1.6066666666666674,0.9999987309844237,15.486560720312202,3.9805771379161903,14.634880635824715
