video,cp,p,n,ttc_start,ttc_true,distance,dv_kph,theta_dot,l0,ldot,p_lead,expected_looming,pred_mixture,pred_expected
LC_dv14_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,0.9615384615384616,13,3.0,2.7,10.5,14.0,0.06585555596676537,1.235,-1.3166666666666682,0.9969506241891247,0.06565473762738858,0.7196113772993366,0.6857188716123396
LC_dv14_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,0.8076923076923077,13,3.0,2.4,9.333333333333332,14.0,0.0831724128548923,0.7739999999999998,-1.7066666666666683,0.999994329833734,0.08317194125348266,0.7770493559801424,0.7389220808618773
LC_dv14_Tlc2p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,0.9230769230769232,13,3.0,2.1,8.166666666666666,14.0,0.10829974790229006,0.2949999999999997,-1.5966666666666671,0.9999971926735736,0.1082994438695458,0.8314386142994272,0.79231060211733
LC_dv14_Tlc2p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,0.8846153846153846,13,3.0,1.8,7.0,14.0,0.14671380814968765,-0.19900000000000007,-1.8266666666666698,0.9999999951634568,0.14671380744009999,0.8825028586608055,0.844962893865734
LC_dv14_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,0.0192307692307692,26,4.0,4.0,15.555555555555555,14.0,0.03013614877757078,1.6330000000000007,-0.0066666666666659324,0.051625511135871986,0.0015557940843087753,0.06136379978947608,0.020856721453640193
LC_dv14_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,0.6923076923076923,13,4.0,3.7,14.38888888888889,14.0,0.03519955566804595,1.2380000000000002,-1.3166666666666682,0.9969223714464196,0.03509122451044863,0.5500935896419421,0.5307226208349296
LC_dv14_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,0.4615384615384615,13,4.0,3.4,13.22222222222222,14.0,0.04165260294687452,0.7830000000000001,-1.68333333333333,0.9999918410003159,0.04165226310330024,0.6004950176483514,0.5762329958923224
LC_dv14_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,0.8076923076923077,13,4.0,3.1,12.055555555555555,14.0,0.05005330153140143,0.3099999999999994,-1.5766666666666693,0.9999959899465021,0.05005310081498454,0.6521070507024305,0.6238949896470627
LC_dv14_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,0.6538461538461539,13,4.0,2.8,10.888888888888888,14.0,0.06126983390488646,-0.1869999999999996,-1.8366666666666642,0.9999999956562385,0.061269833638744914,0.7059077923796807,0.6742220427625497
LC_dv14_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,0.0,13,5.0,5.0,19.444444444444443,14.0,0.019312484314390907,1.635999999999999,-0.003333333333337407,0.05025105715809491,0.0009704727531472688,0.05427490259709056,0.009225980386520661
LC_dv14_Tlc2p0_TTC05_CP3_S5p667_E15p667.mp4,CP3,0.3076923076923077,13,5.0,4.4,17.11111111111111,14.0,0.02492167812994405,0.7790000000000006,-1.7066666666666623,0.9999941966731881,0.024921533501301163,0.4414117142422376,0.433451560607692
LC_dv14_Tlc2p0_TTC05_CP5_S6p267_E16p267.mp4,CP5,0.4615384615384615,13,5.0,3.8,14.777777777777777,14.0,0.03337870693231704,-0.19299999999999984,-1.826666666666664,0.9999999949874311,0.03337870676500397,0.5282591103060827,0.5128131766626767
LC_dv14_Tlc2p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,0.1153846153846153,13,6.0,6.0,23.33333333333333,14.0,0.013421029265767858,1.6389999999999991,-0.006666666666671854,0.05098747843911339,0.0006843044403190484,0.049748398439845076,0.004752290266839084
LC_dv14_Tlc2p0_TTC06_CP2_S5p367_E15p367.mp4,CP2,0.4230769230769231,13,6.0,5.7,22.166666666666668,14.0,0.014868338361673915,1.2440000000000004,-1.3166666666666624,0.9968651577392944,0.01482172846623127,0.3051001631673434,0.3086052779113067
