cell,trace,pet,speed_kph,p,n,d_onc,t_sep,s_conf_m,s_stop_m,a_wait,wait_nominal_ok,tau_in_s,v_ego,v_onc,dg_A,G_A_proceed,G_A_wait,dg_B,G_B_proceed,G_B_wait,collide_share_proceed,first_collision_tau,x_A,pred_A,x_B,pred_B,scenario,clearance,timepoint,clearance_m,y_offset_m,v_cyc,y_rel,G_A_continue,G_A_abort,G_B_continue,G_B_abort
70 km/h PET 0.5,IntersectionLeftTurnPET0.5-70kph,0.5,70.0,0.7267441860465116,172.0,68.4836511015892,1.5020000000000007,10.683206867015645,7.1792941797140095,-4.098989039268084,False,1.7020000000000017,7.671746626724436,19.437900652726743,0.0,84799.19897446025,122443.87173588635,0.0,84799.19897446025,122443.87173588635,0.215,3.2,10.580537923536175,0.4574217059513473,10.580537923536175,0.4574217059513473,ltap,,,,,,,,,,
70 km/h PET 1.0,IntersectionLeftTurnPET1-70kph,1.0,70.0,0.6162790697674418,172.0,78.94077368577321,2.0020000000000007,10.86304753680926,7.359134849507624,-4.045828529068522,False,1.7020000000000017,7.716708848129535,19.436086719252305,0.0,16659.00604439153,88003.61583116821,0.0,16659.00604439153,88003.61583116821,0.04,3.6,10.580537923536175,0.4574217059513473,10.580537923536175,0.4574217059513473,ltap,,,,,,,,,,
70 km/h PET 1.5,IntersectionLeftTurnPET1.5-70kph,1.5,70.0,0.5,172.0,87.67729777097702,2.5029999999999983,10.10159822376558,6.597685536463944,-4.356960771019868,False,1.6020000000000003,7.582329069870099,19.43745623140384,0.0,6840.340171945901,63721.526126223616,0.0,6840.340171945901,63721.526126223616,0.01,4.0,10.580537923536175,0.4574217059513473,10.580537923536175,0.4574217059513473,ltap,,,,,,,,,,
70 km/h PET 2.0,IntersectionLeftTurnPET2-70kph,2.0,70.0,0.36046511627906974,172.0,101.57542251689094,3.003000000000002,11.456104054093295,7.952191366791659,-3.752680806082282,False,1.8020000000000014,7.725546700195694,19.43603140229672,0.0,2086.096093513439,15328.688949214542,0.0,2086.096093513439,15328.688949214542,0.0,,10.580537923536175,0.4574217059513473,10.580537923536175,0.4574217059513473,ltap,,,,,,,,,,
70 km/h PET 2.5,IntersectionLeftTurnPET2.5-70kph,2.5,70.0,0.22674418604651161,172.0,109.44843330553599,3.604000000000001,10.389151868498182,6.885239181196546,-4.3591155397050185,False,1.6020000000000003,7.747716193736025,19.435892163478243,0.0,3026.3615525682367,21143.8863951556,0.0,3026.3615525682367,21143.8863951556,0.0,,10.580537923536175,0.4574217059513473,10.580537923536175,0.4574217059513473,ltap,,,,,,,,,,
70 km/h PET 3.0,IntersectionLeftTurnPET3-70kph,3.0,70.0,0.12790697674418605,172.0,119.00282667364392,4.104000000000001,10.397003174665075,6.893090487363439,-4.358178106097838,False,1.6020000000000003,7.75129873574469,19.435962736741477,0.0,2916.0608149899404,12993.988362889488,0.0,2916.0608149899404,12993.988362889488,0.0,,10.580537923536175,0.4574217059513473,10.580537923536175,0.4574217059513473,ltap,,,,,,,,,,
70 km/h PET 3.5,IntersectionLeftTurnPET3.5-70kph,3.5,70.0,0.11627906976744186,172.0,128.2025676539966,4.504999999999999,10.323660599413222,6.819747912111586,-4.360828111929458,False,1.6020000000000003,7.712295172179088,19.43608671585589,0.0,3026.6677257324554,11105.769959353018,0.0,3026.6677257324554,11105.769959353018,0.0,,10.580537923536175,0.4574217059513473,10.580537923536175,0.4574217059513473,ltap,,,,,,,,,,
70 km/h PET 4.0,IntersectionLeftTurnPET4-70kph,4.0,70.0,0.11046511627906977,172.0,138.17893719673157,5.2059999999999995,9.76517564470307,6.261262957401435,-4.742297432292351,False,1.5020000000000007,7.706201560534481,19.43603903143037,0.0,3087.660357435634,11975.74460632121,0.0,3087.660357435634,11975.74460632121,0.0,,10.580537923536175,0.4574217059513473,10.580537923536175,0.4574217059513473,ltap,,,,,,,,,,
0.5m C1,,,,0.22093023255813954,172.0,,,,,,,,14.277177550465654,,97934.10412543744,,,102010.44075914232,,,,,11.49205012460252,0.3531236051855531,11.53283044741169,0.3505460093741685,overtake,0.5m,C1,0.5,0.0224620103836064,5.53648710388099,0.08669949072481872,113711.32931943811,15777.22519400067,112971.14454870661,10960.70378956428
0.5m C2,,,,0.22093023255813954,172.0,,,,,,,,14.27691271380404,,87080.49500640464,,,102474.61766981568,,,,,11.374588199833989,0.3338210584218223,11.537370414405009,0.35123973638190076,overtake,0.5m,C2,0.5,0.13943040370941318,5.536608219660145,0.4481016253053547,120023.9444553047,32943.44944890006,119707.71833515968,17233.100665343998
0.5m C3,,,,0.3953488372093023,172.0,,,,,,,,14.277389908611452,,87239.37509829628,,,100512.51173570268,,,,,11.376411057271758,0.3341129907006133,11.518037493615036,0.34829206198666823,overtake,0.5m,C3,0.5,0.27532177042253103,5.538945675043122,0.707012986482382,122455.88486874581,35216.50977044953,122433.48744247269,21920.975706770016
0.5m C4,,,,0.5755813953488372,172.0,,,,,,,,14.277097660939855,,110474.9891115144,,,110850.3399729528,,,,,11.612544431438305,0.3739236868200577,11.615936282003695,0.3633901389655387,overtake,0.5m,C4,0.5,0.4362728476524347,5.536929130664314,1.0519104304346614,140547.79825119567,30072.809139681263,140465.2399450189,29614.899972066098
