video,cp,eps,epistemic,g_alpha1,p,n,ttc_start,ttc_true,distance
LC_dv21_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,4657.240742087759,76.41178334471078,4580.828958743048,0.85,10,2.0,1.4,8.166666666666666
LC_dv21_Tlc2p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,1934.8741669887768,27.70073859987474,1907.173428388902,0.9090909090909092,11,2.0,1.1,6.416666666666667
LC_dv21_Tlc2p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,12620.251091446231,83.42282606711888,12536.828265379112,0.85,10,2.0,0.8,4.666666666666667
LC_dv21_Tlc2p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,2803.8283044069613,94.56317567392125,2709.26512873304,0.0,21,3.0,3.0,17.5
LC_dv21_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,4685.5945843198915,106.29996423147986,4579.294620088412,0.6818181818181818,11,3.0,2.7,15.75
LC_dv21_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,64065.95070077855,165.65660922878305,63900.29409154977,0.4,10,3.0,2.4,13.999999999999998
LC_dv21_Tlc2p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,1934.7230470159666,36.50382271815215,1898.2192242978144,0.7727272727272727,11,3.0,2.1,12.25
LC_dv21_Tlc2p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,225552.74262887117,161.84933152110898,225390.89329735006,0.6,10,3.0,1.8,10.5
LC_dv21_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,8676.217553208646,178.09639106574468,8498.121162142901,0.0,21,4.0,4.0,23.33333333333333
LC_dv21_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,3388.0402999950106,102.17254279088047,3285.86775720413,0.4090909090909091,11,4.0,3.7,21.58333333333333
LC_dv21_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,8255.834929161088,115.41362326930266,8140.421305891786,0.1,10,4.0,3.4,19.83333333333333
LC_dv21_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,4761.5008731329945,93.36807561242222,4668.132797520572,0.5909090909090909,11,4.0,3.1,18.08333333333333
LC_dv21_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,2552.623544967944,72.39183052334647,2480.2317144445974,0.4,10,4.0,2.8,16.333333333333332
LC_dv21_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,6842.4314479167915,113.54497573136086,6728.886472185431,0.0454545454545454,11,5.0,5.0,29.166666666666664
LC_dv21_Tlc2p0_TTC05_CP2_S5p367_E15p367.mp4,CP2,4322.525526173995,96.2548152902973,4226.270710883698,0.4545454545454545,11,5.0,4.7,27.416666666666668
LC_dv21_Tlc2p0_TTC05_CP4_S5p967_E15p967.mp4,CP4,16926.128940030292,168.3305532063423,16757.79838682395,0.4545454545454545,11,5.0,4.1,23.916666666666664
LC_dv21_Tlc2p0_TTC07_CP1_S5p033_E15p033.mp4,CP1,2712.933524732708,112.40934124128489,2600.524183491423,0.0,10,7.0,7.0,40.83333333333333
LC_dv21_Tlc2p0_TTC07_CP3_S5p633_E15p633.mp4,CP3,4171.57475570262,120.48848871351538,4051.0862669891044,0.0,10,7.0,6.4,37.333333333333336
LC_dv21_Tlc2p0_TTC07_CP5_S6p233_E16p233.mp4,CP5,5394.065808568431,118.78045498000756,5275.285353588423,0.05,10,7.0,5.8,33.83333333333333
LC_dv21_Tlc3p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,1943.153921807585,35.34561789779241,1907.8083039097926,0.0208333333333333,24,2.0,2.0,11.666666666666666
LC_dv21_Tlc3p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,2924.257835086321,27.98493352137575,2896.272901564945,0.5,12,2.0,1.7,9.916666666666666
LC_dv21_Tlc3p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,10609.932662230674,103.26194920162197,10506.670713029052,0.75,12,2.0,1.4,8.166666666666666
LC_dv21_Tlc3p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,1934.7230470159648,27.538451801051906,1907.1845952149129,0.875,12,2.0,1.1,6.416666666666667
LC_dv21_Tlc3p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,12167.32456828086,47.103510279617694,12120.221058001242,0.9166666666666666,12,2.0,0.8,4.666666666666667
