lead,t_react,standoff,post,cp1,rows,n_rows,rho_p,rho_gap,level,sigma,lapse,n_cap,train_full
stops,1.0,2.0,0.21470616792051256,0.49099732051492967,11,24,0.6596954787399735,-0.4503063454455269,11.844503775552637,0.47682309644440135,2.602160911579073e-08,0,0.20495616088119037
stops,1.0,5.0,0.2020061870221168,0.4887477712455615,13,24,0.697238157665695,-0.5039443935895593,12.894033211143428,0.47243425934220157,9.633649131123527e-09,0,0.1951955558024827
stops,1.0,10.0,0.18072679845554554,0.4844402899754584,14,24,0.7616454561301426,-0.59692851529277,15.136827984031896,0.48215848172276915,5.694617385976709e-10,0,0.17728879473190892
stops,1.0,20.0,0.14317669204738812,0.4748143679429711,19,24,0.8628945125108742,-0.7680154306931746,23.292526145506105,0.6255024934836507,5.614608511406832e-09,4,0.13928349972803364
stops,1.0,30.0,0.13557824450996317,0.5048323359001097,20,24,0.8906278349924994,-0.8896377854419049,51.86379054514153,0.822237094487324,0.08662102668620507,111,0.12649925215500343
stops,1.0,40.0,0.22515258991024978,0.528568356680061,17,24,0.726700137437093,-0.7935337870915214,83.82376457983548,0.5334388905552464,0.14119458973023702,202,0.189414545895061
stops,1.5,0.0,0.19276672665938033,0.48588877051048657,14,24,0.7337700402688233,-0.5557017138362932,18.22658186881482,0.6284143754391871,6.563331559159766e-10,0,0.1879736594879208
stops,1.5,2.0,0.1845484166810535,0.4841777168760053,14,24,0.7578900522732623,-0.5914233094033505,19.910585109535894,0.6487316843828603,1.275039059994299e-08,2,0.1808948807003465
stops,1.5,5.0,0.17245813225092058,0.4811246309793542,15,24,0.7920263359773744,-0.6445039144334049,23.144741021406617,0.7017802309955165,4.5121515924389104e-09,10,0.16981578446391385
stops,1.5,10.0,0.1525552709947459,0.4773384916052359,19,24,0.8423492646853572,-0.7306693004296341,31.893647445063664,0.8623926409629161,4.348505717750023e-11,35,0.1495915533367751
stops,1.5,20.0,0.19281602178459398,0.5045284807576175,17,24,0.8299403879593398,-0.821339222787497,89.9362822144962,0.25977447057645314,0.24018937723597114,166,0.16047751281385755
stops,1.5,30.0,0.24751243651209776,0.5418738635503028,14,24,0.6256894783387181,-0.6663210802006178,98.9219586507506,0.054106973706626656,0.165887261616318,234,0.2104525203340263
stops,1.5,40.0,0.2781534785810412,0.5471633369021984,10,24,0.462492587491573,-0.49399290280989255,98.21113872070868,0.11193804786411779,0.09663769404410043,262,0.2397811368842593
stops,2.0,0.0,0.1723120697340956,0.4986298933662622,17,24,0.8211335702435345,-0.7139664677499945,46.85129141732592,0.9536744183240295,0.004089391430056134,103,0.1562850252730548
stops,2.0,2.0,0.18575073395603042,0.498581617305577,17,24,0.8245039057857703,-0.7467077226579039,63.826847750779386,0.7420239768417286,0.11530426742220276,133,0.1559384760643148
stops,2.0,5.0,0.20699529879320774,0.5145189158857358,16,24,0.7873152274372937,-0.7530337514206628,80.87615149387871,0.5156518151754363,0.16926784727553534,178,0.16980595988237554
stops,2.0,10.0,0.23844455004072102,0.5329718391671863,14,24,0.6895042428618136,-0.7073162559279809,98.10015010223309,0.0848418532657783,0.203635547967827,217,0.1976501962722649
stops,2.0,20.0,0.27165342729995934,0.5498080002026426,11,24,0.5189481651989662,-0.5494288695767789,99.9549870830914,0.002855993394164386,0.12759666057718158,254,0.23075595195297774
stops,2.0,30.0,0.2964192560271047,0.5423634264685318,7,24,0.3444156586483759,-0.3711185323910966,96.80435035420827,0.2193461591055298,0.06023260195004336,274,0.25743990244697207
