cell,clearance,timepoint,p,n,clearance_m,y_offset_m,v_ego,v_cyc,y_rel,dg_A,G_A_continue,G_A_abort,dg_B,G_B_continue,G_B_abort,x_A,pred_A,x_B,pred_B,test
0.5m C1,0.5m,C1,0.22093023255813954,172.0,0.5,0.0224620103836064,14.277177550465654,5.53648710388099,0.08669949072481872,21344.646739113305,35763.92156317272,14419.274824059414,25420.983372818206,35023.736792441225,9602.753419623019,9.969372098919798,0.27422278104188524,10.143330228999849,0.28399277656380584,polygon
0.5m C2,0.5m,C2,0.22093023255813954,172.0,0.5,0.13943040370941318,14.27691271380404,5.536608219660145,0.4481016253053547,34.84226767929067,29073.61087301757,29038.76860533828,15428.964931090304,28757.38475287253,13328.419821782227,3.956296346358083,0.21608745315111746,9.644001861518692,0.24155397858876912,polygon
0.5m C3,0.5m,C3,0.3953488372093023,172.0,0.5,0.27532177042253103,14.277389908611452,5.538945675043122,0.707012986482382,0.0,26824.50801177913,29302.910575336788,10794.734073848707,26802.110585505987,16007.37651165728,2.8576840576899736,0.21608744949742087,9.286813708448975,0.2179123427612927,polygon
0.5m C4,0.5m,C4,0.5755813953488372,172.0,0.5,0.4362728476524347,14.277097660939855,5.536929130664314,1.0519104304346614,43307.68497463451,52434.57693745423,9126.891962819715,43683.03583607293,52352.018631277475,8668.982795204549,10.67648756370889,0.35212064257365283,10.684715109745248,0.34291413225291867,polygon
0.5m C5,0.5m,C5,0.686046511627907,172.0,0.5,0.6258025360107435,14.277502568134931,5.538935661324177,1.348780999018082,53195.12996470467,62764.58843409798,9569.45846939331,53042.11519603475,62594.41129248703,9552.296096452283,10.882049570409272,0.3836564391274532,10.878841503326178,0.36719868905657727,polygon
1m C1,1m,C1,0.20348837209302326,172.0,1.0,0.011221811322883024,14.277262737583031,5.537065984219272,0.04628384961226347,23268.065486358686,36490.706783763686,13222.641297405,27019.480086414474,36162.028496687824,9142.54841027335,10.055585553639093,0.28130539483144046,10.20431336952353,0.28995919976310863,polygon
1m C2,1m,C2,0.18023255813953487,172.0,1.0,0.12953805923461914,14.277151912645838,5.538966179169211,0.42811700221817617,18944.895163368663,43920.97243046644,24976.07726709778,31312.895309554064,43895.78579435219,12582.890484798127,9.85020893592144,0.2654202374470096,10.351785282403947,0.30509787566792645,polygon
1m C3,1m,C3,0.23837209302325582,172.0,1.0,0.28144049644470215,14.277220151078934,5.539371013708991,0.8289636373649506,4714.5746881382765,23718.418049443295,19003.84336130502,9453.80849795255,23718.418049443295,14264.609551490745,8.462102342168455,0.22065692988752167,9.154172954955147,0.21044983244393273,polygon
1m C4,1m,C4,0.3488372093023256,172.0,1.0,0.46844959616660997,14.277299267227407,5.539471149466166,1.17134474805551,14321.77007892047,23263.00680149262,8941.236722572148,14444.71329548884,23263.00680149262,8818.293506003778,9.570751711779215,0.24884767100224792,9.578083764692897,0.23678549660911058,polygon
1m C5,1m,C5,0.37209302325581395,172.0,1.0,0.7021398544311512,14.275426967044622,5.536711216161917,1.5591848822192849,50594.63453614971,60523.198883079385,9928.564346929681,50614.17166400266,60522.49171800385,9908.320054001193,10.831945081245113,0.3756014743079315,10.83198688847372,0.36119317366636805,polygon
1.5m C1,1.5m,C1,0.1686046511627907,172.0,1.5,0.016108751296997514,14.27765246313329,5.543461800716529,0.05419850931684023,16609.700323987487,29828.922630948222,13219.222306960735,20419.49767617559,29587.508061992612,9168.01038581702,9.718790463868883,0.25695549626409175,9.924245491816453,0.26397529666398484,polygon
1.5m C2,1.5m,C2,0.16279069767441862,172.0,1.5,0.15680170059204124,14.27652916849262,5.537258148672883,0.5065646320223112,5017.493712310657,27744.294413536416,22726.80070122576,15593.217694392637,27744.203878110966,12150.986183718329,8.52415189262639,0.22126606978330382,9.654591335520756,0.2423376534508854,polygon
1.5m C3,1.5m,C3,0.1686046511627907,172.0,1.5,0.32364847779274086,14.276621821305852,5.538114071122669,0.8648276386439797,12626.325167354906,27143.507637748273,14517.182470393367,14202.312838945149,27143.507637748273,12941.194798803124,9.44491800837579,0.24302761909415135,9.561160106308552,0.2355915562577576,polygon
1.5m C4,1.5m,C4,0.13953488372093023,172.0,1.5,0.5672371530532825,14.27694630553014,5.538030147641921,1.3963187514678594,12007.937793648885,21329.065661570174,9321.127867921288,12049.76251466307,21329.065661570174,9279.303146907103,9.3947729429683,0.2409585458405865,9.396800230397874,0.2246273280126762,polygon
1.5m C5,1.5m,C5,0.1569767441860465,172.0,1.5,0.837246396541595,14.277025894647217,5.539762973803234,1.8938954315834913,76030.55748458217,86586.71337914873,10556.155894566564,76048.76066765464,86586.65421562476,10537.893547970121,11.23911971769477,0.4474754050374823,11.239130001271349,0.41621158356642585,polygon
