video,cp,ttc_start,ttc_true,distance,dv_kph,lcd,p,n,deficit_max,deficit_horizon,p_lane_end,p_lane_end_h,p_lane_max_h
LC_dv14_Tlc2p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,2.0,0.8,3.111111111111111,14.0,2.0,1.0,13,8630.245302973395,8630.245302973395,1.0,1.0,1.0
LC_dv14_Tlc2p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,3.0,3.0,11.666666666666666,14.0,2.0,0.057692307692307696,26,1019.329668238745,1019.329668238745,0.0,0.0,0.0
LC_dv14_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,3.0,2.7,10.5,14.0,2.0,0.9615384615384616,13,7445.18669049671,7445.18669049671,1.0,1.0,1.0
LC_dv14_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,3.0,2.4,9.333333333333332,14.0,2.0,0.8076923076923077,13,7750.3878971114045,7750.3878971114045,1.0,1.0,1.0
LC_dv14_Tlc2p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,3.0,2.1,8.166666666666666,14.0,2.0,0.9230769230769231,13,7841.036723522378,7841.036723522378,1.0,1.0,1.0
LC_dv14_Tlc2p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,3.0,1.8,7.0,14.0,2.0,0.8846153846153846,13,7841.036723522378,7841.036723522378,1.0,1.0,1.0
LC_dv14_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,4.0,4.0,15.555555555555555,14.0,2.0,0.019230769230769232,26,1048.35142278874,1048.35142278874,0.0,0.0,0.0
LC_dv14_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,4.0,3.7,14.38888888888889,14.0,2.0,0.6923076923076923,13,6537.098395435112,6537.098395435112,1.0,1.0,1.0
LC_dv14_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,4.0,3.4,13.22222222222222,14.0,2.0,0.46153846153846156,13,6537.098395435112,6537.098395435112,1.0,1.0,1.0
LC_dv14_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,4.0,3.1,12.055555555555555,14.0,2.0,0.8076923076923077,13,7119.262575027707,7119.262575027707,1.0,1.0,1.0
LC_dv14_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,4.0,2.8,10.888888888888888,14.0,2.0,0.6538461538461539,13,7435.259847018218,7435.259847018218,1.0,1.0,1.0
