p_change,x_rel,y_rel,vy_oth,v_ego,v_oth,dg_A,G_A_continue,G_A_ease_off,G_A_brake,G_A_brake_hard,dg_B,G_B_continue,G_B_ease_off,G_B_brake,G_B_brake_hard,video,trace,e_t,cp,p,n,ttc_start,ttc_true,distance,dv_kph,lcd
1.0,8.920065481587216,3.078020760845574,-0.7532383815695503,26.796,24.988,134968.76379022244,159228.19223061285,78787.87727977619,24259.428440390424,62018.01046287648,64405.04038272635,72933.52021953273,8528.479836806375,20315.10156427521,62018.01046287648,LC_dv07_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,LC_dv07_Tlc4p0_TTC02,15.667,CP3,1.0,12,2.0,1.4,2.722222222222222,7.0,4.0
1.0,8.359121330900262,2.84477425735114,-0.7752735279386006,26.796,24.977,130330.73709193937,155132.34916348042,81007.92883857645,24801.612071541047,62018.01835861731,66960.86070433786,76740.93996310512,9780.079258767266,20320.509534050092,62018.01835861731,LC_dv07_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,LC_dv07_Tlc4p0_TTC02,15.967,CP4,0.8461538461538461,13,2.0,1.1,2.138888888888889,7.0,4.0
1.0,7.803040092541815,2.6038944514295737,-0.7889709496287777,26.796,24.988,125309.69070382771,151382.38270475031,87738.64213561245,26072.692000922605,62018.32000357832,70051.88282166416,84704.92421248688,14653.04139082272,20340.388439976894,62018.32000357832,LC_dv07_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,LC_dv07_Tlc4p0_TTC02,16.267,CP5,1.0,12,2.0,0.8,1.5555555555555556,7.0,4.0
0.07000000000000002,12.008177186803001,3.5015421817171712,0.0011428569224107075,26.793,24.991,11914.702653171289,26595.59371093095,14680.89105775966,20313.114316205534,62015.43758400001,7242.873956556519,9933.17863453224,2690.3046779757206,20307.599999999995,62015.43758400001,LC_dv07_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,LC_dv07_Tlc4p0_TTC03,15.067,CP1,0.0,25,3.0,3.0,5.833333333333333,7.0,4.0
1.0,11.457467664996726,3.304455886459088,-0.6519633571105772,26.796,24.987,149794.94862323444,170447.1328356271,61427.991359465275,20652.18421239265,62018.009856000084,44690.07702136047,49204.354898867816,4514.2778775073475,20307.602121165397,62018.009856000084,LC_dv07_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,LC_dv07_Tlc4p0_TTC03,15.367,CP2,0.6538461538461539,13,3.0,2.7,5.25,7.0,4.0
1.0,10.902064176837023,3.0736879614115704,-0.7682197874816853,26.793,24.988,147917.91784957552,169554.41296487433,66927.69255023496,21636.49511529882,62015.43758400001,49683.6119296644,54833.61284726758,5150.000917603175,20307.668999009817,62015.43758400001,LC_dv07_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,LC_dv07_Tlc4p0_TTC03,15.667,CP3,0.9583333333333334,12,3.0,2.4,4.666666666666666,7.0,4.0
1.0,10.349121656426252,2.841283326331387,-0.7719585226228809,26.651,24.988,144668.71056275352,166032.3752507738,63192.748102077654,21363.664688020264,61894.01281600004,47609.8586214988,52482.47317732395,4872.614555825141,20307.617373527464,61894.01281600004,LC_dv07_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,LC_dv07_Tlc4p0_TTC03,15.967,CP4,0.8461538461538461,13,3.0,2.1,4.083333333333333,7.0,4.0
1.0,9.789041049548237,2.604340286955439,-0.7889686066352206,26.796,24.988,142871.27133690641,165764.03199964293,74682.94317611199,22892.760662736513,62018.009856000084,57700.43300777454,64268.12064898626,6567.68764121172,20309.32696994628,62018.009856000084,LC_dv07_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,LC_dv07_Tlc4p0_TTC03,16.267,CP5,0.9583333333333334,12,3.0,1.8,3.5,7.0,4.0
0.07000000000000002,14.151351204390874,3.5005085473378035,0.0012367870960645554,26.651,24.991,17896.496985723606,30327.957315073552,12431.460329349944,20307.599999999995,61894.01281600004,4485.463028151114,6997.3093941899415,2511.846366038828,20307.599999999995,61894.01281600004,LC_dv07_Tlc4p0_TTC04_CP1_S5p033_E15p033.mp4,LC_dv07_Tlc4p0_TTC04,15.033,CP1,0.02,25,4.0,4.0,7.777777777777778,7.0,4.0
1.0,13.597500570888803,3.3498661502629936,-0.4986234639833175,26.796,24.987,151192.85836533058,171500.4583653306,48286.7103177701,20307.599999999995,62018.009856000084,32374.22133264059,35745.32611956653,3371.104786925942,20307.599999999995,62018.009856000084,LC_dv07_Tlc4p0_TTC04_CP2_S5p333_E15p333.mp4,LC_dv07_Tlc4p0_TTC04,15.333,CP2,0.5769230769230769,13,4.0,3.7,7.194444444444445,7.0,4.0
1.0,13.041448550027487,3.1237952424874345,-0.7553042067580049,26.796,24.987,151300.5984100708,171608.1984100708,51105.73559686504,20307.599999999995,62018.009856000084,34734.391132131976,38301.45958019548,3567.0684480635036,20307.599999999995,62018.009856000084,LC_dv07_Tlc4p0_TTC04_CP3_S5p633_E15p633.mp4,LC_dv07_Tlc4p0_TTC04,15.633,CP3,0.7083333333333334,12,4.0,3.4,6.611111111111111,7.0,4.0
1.0,12.493162670527976,2.893678711904165,-0.7686367714694239,26.796,24.988,151603.53612208157,171915.56889148295,55929.53255693569,20312.03276940139,62018.009856000084,38601.03655839843,42446.89105415016,3845.854495751729,20307.599999999995,62018.009856000084,LC_dv07_Tlc4p0_TTC04_CP4_S5p933_E15p933.mp4,LC_dv07_Tlc4p0_TTC04,15.933,CP4,0.7307692307692307,13,4.0,3.1,6.027777777777778,7.0,4.0
1.0,11.936652355879174,2.6565864440827536,-0.7955153745003458,26.796,24.988,151028.59924204394,171402.14666775835,59514.258628972406,20373.54742571441,62018.009856000084,41913.72515289069,46004.872698506966,4091.147545616277,20307.599999999995,62018.009856000084,LC_dv07_Tlc4p0_TTC04_CP5_S6p233_E16p233.mp4,LC_dv07_Tlc4p0_TTC04,16.233,CP5,0.8333333333333334,12,4.0,2.8,5.444444444444444,7.0,4.0
0.07000000000000002,17.840177196158844,3.5019266996401677,0.0011524930533690608,26.796,24.991,23352.934003986175,30819.824013431702,7466.890009445527,20307.599999999995,62018.009856000084,2407.9012479645535,4834.747742755724,2426.8464947911707,20307.599999999995,62018.009856000084,LC_dv07_Tlc4p0_TTC06_CP1_S5p067_E15p067.mp4,LC_dv07_Tlc4p0_TTC06,15.067,CP1,0.0416666666666666,12,6.0,6.0,11.666666666666666,7.0,4.0
1.0,16.734064687612566,3.070769778215074,-0.7622411175654394,26.651,24.988,140197.36575474445,160504.96575474445,25356.3101116085,20307.599999999995,61894.01281600004,16406.81150499588,19193.563035064497,2786.751530068616,20307.599999999995,61894.01281600004,LC_dv07_Tlc4p0_TTC06_CP3_S5p667_E15p667.mp4,LC_dv07_Tlc4p0_TTC06,15.667,CP3,0.4583333333333333,12,6.0,5.4,10.5,7.0,4.0
1.0,15.61703926501463,2.599779528150714,-0.7889709496287843,26.796,24.988,149364.80341225694,169672.40341225694,37689.362389779504,20307.599999999995,62018.009856000084,24159.905536620983,27168.01248050853,3008.1069438875465,20307.599999999995,62018.009856000084,LC_dv07_Tlc4p0_TTC06_CP5_S6p267_E16p267.mp4,LC_dv07_Tlc4p0_TTC06,16.267,CP5,0.7083333333333334,12,6.0,4.8,9.333333333333332,7.0,4.0
