video,cp,n_windows,vy_last,p_now,gp_1,gc_1,gp_2,gc_2,gp_3,gc_3,gp_4,gc_4,gp_6,gc_6,p,n,ttc_start,ttc_true,distance,dv_kph,lcd,x_looming,gate_g1
LC_dv07_Tlc3p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,53,-1.0419442240398116,0.9979083182330066,0.9979583094111977,1.0,0.9980071058006134,1.0,0.9980547359566961,1.0,0.9981012277524138,1.0,0.9981909044397275,1.0,0.7916666666666666,12,3.0,2.1,4.083333333333333,7.0,3.0,-1.5682605400132,0.9946836726974788
LC_dv07_Tlc3p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,54,-1.0673937122671868,0.9999857277433825,0.9999860688502061,1.0,0.9999864018045794,1.0,0.9999867268013457,1.0,0.9999870440306917,1.0,0.9999876559252515,1.0,0.8333333333333334,12,3.0,1.8,3.5,7.0,3.0,-1.278005697428891,0.9995550961287482
LC_dv07_Tlc3p0_TTC04_CP1_S5p033_E15p033.mp4,CP1,50,0.0012461620834562244,6.674853003025405e-05,0.023965145572166707,0.085,0.047292371108261164,0.085,0.07006207613292796,0.085,0.09228758538211479,0.085,0.1351577308036228,0.085,0.0625,24,4.0,4.0,7.777777777777778,7.0,3.0,-2.819761432955759,0.06759573037040441
LC_dv07_Tlc3p0_TTC04_CP2_S5p333_E15p333.mp4,CP2,51,-0.658616138057518,0.017468652354283253,0.040951144028466696,0.095,0.06387240433171283,0.095,0.08624584668948326,0.095,0.1080845639464738,0.095,0.15020863742121923,0.095,0.375,12,4.0,3.7,7.194444444444445,7.0,3.0,-2.6662696454454218,0.7599247756965084
LC_dv07_Tlc3p0_TTC04_CP3_S5p633_E15p633.mp4,CP3,52,-1.0195700911719174,0.552155480695472,0.5628589612725511,0.53,0.5733066287459178,0.53,0.5835045970467889,0.53,0.5934588339834724,0.53,0.6126592752535136,0.53,0.5833333333333334,12,4.0,3.4,6.611111111111111,7.0,3.0,-2.5002492060565444,0.9928672019341728
LC_dv07_Tlc3p0_TTC04_CP4_S5p933_E15p933.mp4,CP4,53,-1.0452866369911886,0.9930190801762304,0.9931859241064853,1.0,0.9933487804680865,1.0,0.9935077445638942,1.0,0.9936629094190313,1.0,0.9939622024444217,1.0,0.875,12,4.0,3.1,6.027777777777778,7.0,3.0,-2.3195237816851915,0.9938783045352523
LC_dv07_Tlc3p0_TTC04_CP5_S6p233_E16p233.mp4,CP5,54,-1.0688328170517802,0.9999490280120586,0.9999502462421795,1.0,0.9999514353566099,1.0,0.9999525960512146,1.0,0.9999537290052269,1.0,0.9999559143276295,1.0,0.75,12,4.0,2.8,5.444444444444444,7.0,3.0,-2.121315140754475,0.998134186699616
LC_dv07_Tlc3p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,50,0.0011524930533690608,6.677031057255129e-05,0.02396516683215421,0.085,0.04729239186013513,0.085,0.0700620963888323,0.085,0.09228760515390318,0.085,0.13515774964161387,0.085,0.0416666666666666,12,5.0,5.0,9.72222222222222,7.0,3.0,-3.2608415070219836,0.06733209223175622
LC_dv07_Tlc3p0_TTC05_CP3_S5p667_E15p667.mp4,CP3,52,-1.0197087037706793,0.8398566485917821,0.843684073462378,0.785,0.8474200229079173,0.785,0.8510666831903574,0.785,0.8546261883200115,0.785,0.8614920153670322,0.785,0.75,12,5.0,4.4,8.555555555555555,7.0,3.0,-3.0078749016691306,0.9942689012799276
LC_dv07_Tlc3p0_TTC05_CP5_S6p267_E16p267.mp4,CP5,54,-1.061403348461942,0.999989649713414,0.999989897085184,1.0,0.9999901385447706,1.0,0.999990374233475,1.0,0.9999906042892212,1.0,0.9999910480371318,1.0,0.6666666666666666,12,5.0,3.8,7.388888888888888,7.0,3.0,-2.718732159129608,0.9995370429051341
LC_dv07_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,50,-0.0019503408617863917,6.837077619498926e-05,0.023966729046660543,0.085,0.04729391673772674,0.085,0.07006358482186119,0.085,0.09228905801339407,0.085,0.1351591338843307,0.085,0.0416666666666666,12,6.0,6.0,11.666666666666666,7.0,3.0,-3.622644705660919,0.06852474796040607
LC_dv07_Tlc3p0_TTC06_CP2_S5p367_E15p367.mp4,CP2,51,-0.885277773453778,0.13982279691698804,0.16038102547439653,0.185,0.18044791252693393,0.185,0.20003520113279874,0.185,0.21915435369118857,0.185,0.25603273705350266,0.185,0.25,12,6.0,5.7,11.083333333333334,7.0,3.0,-3.5207561488392507,0.9276604359339786
LC_dv07_Tlc3p0_TTC06_CP4_S5p967_E15p967.mp4,CP4,53,-1.0519417367907813,0.9985704406929707,0.9986046071494461,1.0,0.9986379570278738,1.0,0.9986705098444628,1.0,0.9987022846489849,1.0,0.9987635741553504,1.0,0.375,12,6.0,5.1,9.916666666666666,7.0,3.0,-3.30008630092581,0.9952418833534088
LC_dv07_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,50,0.004487751535492032,6.513578577133741e-05,0.02396357137248321,0.085,0.04729083453193803,0.085,0.07006057628076717,0.085,0.09228612137640914,0.085,0.1351563359411133,0.085,0.0,25,2.0,2.0,3.888888888888889,7.0,4.0,-1.4758358334005228,0.06654594577985537
LC_dv07_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,51,-0.6552851181904361,0.016935536679970113,0.04043076981468143,0.095,0.06336446705764655,0.095,0.08575004911237204,0.095,0.10760061592765349,0.095,0.14974754567450582,0.095,0.6538461538461539,13,2.0,1.7,3.305555555555556,7.0,4.0,-1.1718197333747336,0.757089120905953
LC_dv07_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,52,-0.7532383815695503,0.08185959972989215,0.10380314825558101,0.145,0.1252222461397802,0.145,0.14612942774879956,0.145,0.16653692787769014,0.145,0.20590036780638343,0.145,1.0,12,2.0,1.4,2.722222222222222,7.0,4.0,-0.818459091831626,0.9308056600491601
LC_dv07_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,53,-0.7752735279386006,0.4245715224783795,0.4383242586784685,0.415,0.4517483045888384,0.415,0.4648515159048928,0.415,0.47764156057097557,0.415,0.5023119097915503,0.415,0.8461538461538461,13,2.0,1.1,2.138888888888889,7.0,4.0,-0.4001972745314972,0.9364019379475157
LC_dv07_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,54,-0.7889709496287777,0.8776689801133116,0.8805926905505072,1.0,0.8834465243306742,1.0,0.8862321515053798,1.0,0.8889512022119715,1.0,0.8941959009000032,1.0,1.0,12,2.0,0.8,1.5555555555555556,7.0,4.0,0.1018040459973522,0.981320459821724
LC_dv07_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,50,0.0011428569224107075,6.678846030679206e-05,0.02396518454810994,0.085,0.047292409152679654,0.085,0.07006211326808515,0.085,0.09228762162974201,0.085,0.13515776533931903,0.085,0.0,25,3.0,3.0,5.833333333333333,7.0,4.0,-2.2555553199780123,0.06772784818573098
LC_dv07_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,51,-0.6519633571105772,0.0164263438750023,0.0399337467138476,0.095,0.06287932280511123,0.095,0.08527649980375199,0.095,0.10713838444387803,0.095,0.14930714481748916,0.095,0.6538461538461539,13,3.0,2.7,5.25,7.0,4.0,-2.0507658466895697,0.7532802318245195
LC_dv07_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,52,-0.7682197874816853,0.09349851461546002,0.11516389316463692,0.155,0.13631146933262964,0.155,0.15695361859237766,0.155,0.17710242064311213,0.155,0.21596686529091108,0.155,0.9583333333333334,12,3.0,2.4,4.666666666666666,7.0,4.0,-1.8234337124089448,0.9376514947341962
LC_dv07_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,53,-0.7719585226228809,0.45005314626958737,0.46319687185647257,0.425,0.476026462502624,0.425,0.48854942603071616,0.425,0.5007730908265193,0.425,0.5243509662085659,0.425,0.8461538461538461,13,3.0,2.1,4.083333333333333,7.0,4.0,-1.5682605400132,0.9353883324631107
