video,l0,ldot,trace,cp,e_t,lat_center,half_widths
LC_dv07_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,1.430999999999999,-0.6533333333333384,LC_dv07_Tlc4p0_TTC03,CP2,15.367,3.312999999999999,1.882
LC_dv07_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,1.1990000000000005,-0.8566666666666627,LC_dv07_Tlc4p0_TTC03,CP3,15.667,3.0810000000000004,1.882
LC_dv07_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,0.9669999999999994,-0.773333333333337,LC_dv07_Tlc4p0_TTC03,CP4,15.967,2.8489999999999993,1.882
LC_dv07_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,0.7299999999999993,-0.8800000000000038,LC_dv07_Tlc4p0_TTC03,CP5,16.267,2.611999999999999,1.882
LC_dv07_Tlc4p0_TTC04_CP1_S5p033_E15p033.mp4,1.6280000000000008,2.960594732333751e-15,LC_dv07_Tlc4p0_TTC04,CP1,15.033,3.5100000000000007,1.882
LC_dv07_Tlc4p0_TTC04_CP2_S5p333_E15p333.mp4,1.4780000000000004,-0.5000000000000012,LC_dv07_Tlc4p0_TTC04,CP2,15.333,3.3600000000000003,1.882
LC_dv07_Tlc4p0_TTC04_CP3_S5p633_E15p633.mp4,1.2519999999999996,-0.8400000000000052,LC_dv07_Tlc4p0_TTC04,CP3,15.633,3.1339999999999995,1.882
LC_dv07_Tlc4p0_TTC04_CP4_S5p933_E15p933.mp4,1.0209999999999997,-0.7699999999999996,LC_dv07_Tlc4p0_TTC04,CP4,15.933,2.9029999999999996,1.882
LC_dv07_Tlc4p0_TTC04_CP5_S6p233_E16p233.mp4,0.7819999999999998,-0.7966666666666663,LC_dv07_Tlc4p0_TTC04,CP5,16.233,2.6639999999999997,1.882
LC_dv07_Tlc4p0_TTC06_CP1_S5p067_E15p067.mp4,1.631,2.960594732333751e-15,LC_dv07_Tlc4p0_TTC06,CP1,15.067,3.513,1.882
LC_dv07_Tlc4p0_TTC06_CP3_S5p667_E15p667.mp4,1.2,-0.8499999999999996,LC_dv07_Tlc4p0_TTC06,CP3,15.667,3.082,1.882
LC_dv07_Tlc4p0_TTC06_CP5_S6p267_E16p267.mp4,0.7299999999999993,-0.8800000000000038,LC_dv07_Tlc4p0_TTC06,CP5,16.267,2.611999999999999,1.882
LC_dv07_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,1.6330000000000007,0.003333333333334447,LC_dv07_Tlc4p0_TTC07,CP1,15.067,3.5150000000000006,1.882
