video,cp,vy_oth,p_change,gc_1,gc_2,gc_3,gc_4,gc_6,p,n,ttc_start,ttc_true,distance,dv_kph,lcd,x_looming,gate_g1
LC_dv42_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,-0.7968649191786399,0.4081074559914349,0.995,0.995,0.995,0.995,0.995,0.9583333333333334,12,2.0,0.8,9.333333333333334,42.0,4.0,-1.3882272737337427,0.9835926608635548
LC_dv42_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,0.0017650094101521513,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.0,24,3.0,3.0,35.0,42.0,4.0,-4.022347889502803,0.06772784818573437
LC_dv42_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,-0.6682175478646312,0.16618604599930925,0.155,0.155,0.155,0.155,0.155,0.2916666666666667,12,3.0,2.7,31.5,42.0,4.0,-3.8117962768064957,0.7710848319713277
LC_dv42_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,-0.7669187597916207,0.33961099725812594,0.295,0.295,0.295,0.295,0.295,0.5,12,3.0,2.4,28.0,42.0,4.0,-3.5764670090793667,0.9386372868532369
LC_dv42_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,-0.7715567282368934,0.3498303179674516,0.305,0.305,0.305,0.305,0.305,0.5,12,3.0,2.1,24.5,42.0,4.0,-3.3097495211028414,0.93665339587422
LC_dv42_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,-0.7878677736534213,0.3869452233274753,0.995,0.995,0.995,0.995,0.995,0.625,12,3.0,1.8,21.0,42.0,4.0,-3.0019799417626976,0.9817771275155813
LC_dv42_Tlc4p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,-0.001560781039180444,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.0,24,4.0,4.0,46.66666666666666,42.0,4.0,-4.597395969677527,0.06799268213764327
LC_dv42_Tlc4p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,-0.6649000661818312,0.1618854687857397,0.155,0.155,0.155,0.155,0.155,0.2916666666666667,12,4.0,3.7,43.16666666666666,42.0,4.0,-4.4415414644163445,0.7652314182648815
LC_dv42_Tlc4p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,-0.763932309003967,0.333115524871723,0.285,0.285,0.285,0.285,0.285,0.3333333333333333,12,4.0,3.4,39.66666666666666,42.0,4.0,-4.272514202585939,0.9362759180631313
LC_dv42_Tlc4p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,-0.7748793248729039,0.35724663836758036,0.305,0.305,0.305,0.305,0.305,0.375,12,4.0,3.1,36.16666666666666,42.0,4.0,-4.08788168447215,0.936904079148713
LC_dv42_Tlc4p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,-0.7878746263089728,0.3869611696415821,0.995,0.995,0.995,1.0,1.0,0.5416666666666666,12,4.0,2.8,32.666666666666664,42.0,4.0,-3.884469014623358,0.9814125647085615
LC_dv42_Tlc4p0_TTC05_CP1_S5p067_E15p067.mp4,CP1,0.00177255140794289,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.0,12,5.0,5.0,58.33333333333333,42.0,4.0,-5.043536745661942,0.06550882590497284
LC_dv42_Tlc4p0_TTC05_CP2_S5p367_E15p367.mp4,CP2,-0.6682275163271636,0.1661991119942907,0.155,0.155,0.155,0.155,0.155,0.0416666666666666,12,5.0,4.7,54.833333333333336,42.0,4.0,-4.9198202088875975,0.7658514375836123
LC_dv42_Tlc4p0_TTC05_CP4_S5p967_E15p967.mp4,CP4,-0.7582150932871434,0.32087322392891526,0.28,0.28,0.28,0.28,0.28,0.3333333333333333,12,5.0,4.1,47.83333333333333,42.0,4.0,-4.646761610439117,0.9286290636861354
LC_dv42_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,0.0017666722759453611,0.07000000000000002,0.085,0.085,0.085,0.085,0.085,0.0,12,7.0,7.0,81.66666666666666,42.0,4.0,-5.7163537877864945,0.06334660412577858
LC_dv42_Tlc4p0_TTC07_CP3_S5p667_E15p667.mp4,CP3,-0.7669096955332296,0.33959118067879757,0.295,0.295,0.295,0.295,0.295,0.0,12,7.0,6.4,74.66666666666667,42.0,4.0,-5.53715552728479,0.9343622237825736
LC_dv42_Tlc4p0_TTC07_CP5_S6p267_E16p267.mp4,CP5,-0.7968513172222031,0.4080751392517917,0.995,0.995,1.0,1.0,1.0,0.2083333333333333,12,7.0,5.8,67.66666666666666,42.0,4.0,-5.340309936136368,0.9819122588278748
