eps,eps_step0,eps_last,term_speed,term_accel,term_steer,term_lateral,term_collision,term_safety,collision_share,collide_frac,gap_m,v_ego,v_other,dv,seed,tag,mode,eps_lo,eps_hi,deposit_eps,deposit_share,thw,part,ttc,dv_kph,dG,a_best_first,omega_best_first,omega_best_max,acts_brake,acts_steer,acts
87773.63965738339,66.07601294353447,124154.34423948255,7.563999999999674,14.999999999999996,2.1316282072803006e-14,0.0,75507.53089387887,4895.867390400548,0.9840717873218827,0.14939000926778015,34.199999999999996,15.0,15.0,0.0,4.0,v15_thw2.28,released,49519.26529466286,251562.83341094124,47441.4596,0.9999,2.28,A,,,,,,,,,
68015.95290681998,658.0366416197145,111030.15254862509,7.5639999999996705,15.000000000000004,2.842170943040401e-14,0.0,66191.16084884066,3009.192338537957,0.9633570222121428,0.34115458747659233,24.2,10.0,10.0,0.0,4.0,v10_thw2.42,released,23949.944283224337,131661.23059736597,34172.4788,0.9996,2.42,A,,,,,,,,,
65517.84169310187,43.745296241880865,72135.20575368009,7.563999999999664,15.000000000000004,-4.263256414560601e-14,0.0,54571.31580548434,3.221483537009328,0.9967608090758363,0.0,66.7,25.0,25.0,0.0,4.0,v25_thw2.67,released,542.4816258861807,304781.6099688019,18474.1187,0.9996,2.668,A,,,,,,,,,
33308.25103453447,181.73651980768514,38835.84825566493,7.563999999999672,14.999999999999996,3.552713678800501e-14,0.0,32482.854016680132,802.833017854339,0.999091898304448,0.0,54.2,20.0,20.0,0.0,4.0,v20_thw2.71,released,8748.760333006381,287615.7513177439,26598.47,0.9999,2.71,A,,,,,,,,,
75381.91729991173,32.50922214738961,111411.21768606272,7.563999999999674,15.000000000000005,2.1316282072803006e-14,0.0,52513.761493518636,736.055587111374,0.8927407328380432,0.39698490841670003,41.699999999999996,15.0,15.0,0.0,4.0,v15_thw2.78,released,13901.713346031614,167221.5777410178,27914.6117,0.9983,2.78,A,,,,,,,,,
91755.91649895575,33.03386614573791,106426.22541133755,7.563999999999674,15.0,2.842170943040401e-14,0.0,80856.7564402462,13596.352130139005,0.9996884579729447,0.7472003630040283,29.2,10.0,10.0,0.0,4.0,v10_thw2.92,released,41487.42835151171,138460.3447998084,20853.9155,0.9972,2.92,A,,,,,,,,,
25620.41940053213,52.55097485141822,45271.85768297604,7.563999999999667,15.000000000000004,-5.684341886080802e-14,0.0,25597.85540053213,0.0,0.9874393420816703,0.0,79.2,25.0,25.0,0.0,4.0,v25_thw3.17,released,1796.4027160608969,130901.62115684732,12211.9094,0.9998,3.168,A,,,,,,,,,
45535.244763851035,66.0578214871647,110710.10774372121,7.563999999999677,14.999999999999991,7.105427357601002e-15,0.0,34266.57483457262,0.0002574941628268502,0.9912682131302673,0.0012585383122794074,64.2,20.0,20.0,0.0,4.0,v20_thw3.21,released,7767.958943807883,207449.6069523724,14377.9673,0.9998,3.21,A,,,,,,,,,
121709.33189553733,50.98713884917064,131193.94202037662,7.563999999999676,15.000000000000002,2.1316282072803006e-14,0.0,115735.02615000527,6786.306950468902,0.9556321914462113,0.6766511097069194,49.199999999999996,15.0,15.0,0.0,4.0,v15_thw3.28,released,54978.724044713505,466704.3120465642,13909.685,0.9989,3.28,A,,,,,,,,,
92813.2952970441,23.280192621778387,83827.51290169741,7.563999999999672,15.000000000000004,2.1316282072803006e-14,0.0,72579.5242767221,11182.390125453861,0.968954692859132,0.7935126707616389,34.2,10.0,10.0,0.0,4.0,v10_thw3.42,released,59642.814759359375,189386.06413552383,10926.2852,0.9962,3.42,A,,,,,,,,,
