exp,seed,rt_brake,rt_replan
22,15,1.4000000000000001,1.2000000000000002
22,16,1.8,1.4000000000000001
22,17,1.4000000000000001,1.2000000000000002
22,18,1.4000000000000001,1.2000000000000002
22,19,1.4000000000000001,1.2000000000000002
22,20,1.4000000000000001,1.2000000000000002
22,21,1.4000000000000001,1.2000000000000002
22,22,1.4000000000000001,1.2000000000000002
22,23,1.8,1.2000000000000002
22,24,1.4000000000000001,1.2000000000000002
22,25,1.4000000000000001,1.2000000000000002
22,26,1.4000000000000001,1.2000000000000002
22,27,1.4000000000000001,1.2000000000000002
22,28,1.4000000000000001,1.2000000000000002
22,29,1.4000000000000001,1.2000000000000002
22,30,1.4000000000000001,1.2000000000000002
22,31,1.4000000000000001,1.2000000000000002
23,0,1.6,1.4000000000000001
23,1,1.6,1.4000000000000001
23,2,1.8,1.4000000000000001
23,3,1.6,1.4000000000000001
23,4,1.6,1.4000000000000001
23,5,1.6,1.4000000000000001
23,6,1.6,1.4000000000000001
23,7,1.6,1.4000000000000001
23,8,1.6,1.4000000000000001
23,9,1.6,1.4000000000000001
23,10,1.6,1.4000000000000001
23,11,1.6,1.4000000000000001
23,12,1.6,1.4000000000000001
23,13,1.6,1.4000000000000001
23,14,1.6,1.4000000000000001
23,15,1.6,1.4000000000000001
23,16,1.6,1.4000000000000001
23,17,1.6,1.4000000000000001
23,18,1.6,1.4000000000000001
23,19,1.6,1.4000000000000001
23,20,1.6,1.4000000000000001
23,21,1.6,1.4000000000000001
23,22,1.6,1.4000000000000001
23,23,1.6,1.4000000000000001
23,24,1.6,1.4000000000000001
23,25,1.6,1.4000000000000001
23,26,1.6,1.4000000000000001
23,27,1.6,1.4000000000000001
23,28,1.6,1.4000000000000001
23,29,1.6,1.4000000000000001
23,30,1.6,1.4000000000000001
23,31,1.6,1.4000000000000001
24,0,2.2,2.0
24,1,2.2,2.0
24,2,2.6,2.0
24,3,2.8000000000000003,2.0
24,4,2.4000000000000004,2.0
24,5,2.4000000000000004,2.0
24,6,2.4000000000000004,2.0
24,7,2.4000000000000004,2.0
24,8,2.2,2.0
24,9,2.2,2.0
24,10,2.2,2.0
24,11,2.2,2.0
24,12,2.8000000000000003,2.0
24,13,3.2,2.0
24,14,2.6,2.0
24,15,2.2,2.0
24,16,2.4000000000000004,2.0
24,17,3.0,2.0
24,18,3.0,2.0
24,19,2.4000000000000004,2.0
24,20,3.8000000000000003,2.0
24,21,2.4000000000000004,2.0
24,22,3.2,2.0
24,23,2.8000000000000003,2.2
24,24,2.8000000000000003,2.0
24,25,2.2,2.0
24,26,2.2,2.0
24,27,3.4000000000000004,2.0
24,28,2.4000000000000004,2.0
24,29,3.0,2.0
24,30,2.2,2.0
24,31,2.4000000000000004,2.0
25,0,2.4000000000000004,1.8
25,1,2.2,1.8
25,2,2.2,1.8
25,3,2.4000000000000004,1.8
25,4,3.8000000000000003,1.8
25,5,2.0,1.8
25,6,2.0,1.8
25,7,2.0,1.8
25,8,2.0,1.8
25,9,2.0,1.8
25,10,2.0,1.8
25,11,2.2,1.8
25,12,2.0,1.8
25,13,3.0,1.8
25,14,2.2,1.8
25,15,2.0,1.8
25,16,2.0,1.8
25,17,2.0,1.8
25,18,2.0,1.8
25,19,2.2,1.8
25,20,2.8000000000000003,1.8
25,21,2.2,1.8
25,22,2.0,1.8
25,23,2.0,1.8
25,24,2.0,1.8
25,25,2.0,1.8
25,26,2.0,1.8
25,27,2.0,1.8
25,28,2.2,1.8
25,29,2.0,1.8
25,30,2.0,1.8
25,31,2.4000000000000004,1.8
26,0,1.8,1.6
26,1,1.8,1.6
26,2,1.8,1.6
26,3,1.8,1.6
26,4,1.8,1.6
26,5,1.8,1.6
26,6,1.8,1.6
26,7,1.8,1.6
26,8,1.8,1.6
26,9,2.0,1.6
26,10,1.8,1.6
26,11,2.0,1.6
26,12,1.8,1.6
26,13,1.8,1.6
26,14,1.8,1.6
26,15,1.8,1.6
26,16,2.0,1.6
26,17,1.8,1.6
26,18,1.8,1.6
26,19,1.8,1.6
26,20,1.8,1.6
26,21,1.8,1.6
26,22,1.8,1.6
26,23,1.8,1.6
26,24,1.8,1.6
26,25,1.8,1.6
26,26,1.8,1.6
26,27,1.8,1.6
26,28,1.8,1.6
26,29,1.8,1.6
26,30,1.8,1.6
26,31,1.8,1.6
27,0,1.8,1.6
27,1,1.8,1.6
27,2,1.8,1.6
27,3,2.0,1.6
27,4,1.8,1.6
27,5,1.8,1.6
27,6,1.8,1.6
27,7,1.8,1.6
27,8,1.8,1.6
27,9,1.8,1.6
27,10,1.8,1.6
27,11,1.8,1.6
27,12,1.8,1.6
27,13,1.8,1.6
27,14,1.8,1.6
27,15,1.8,1.6
27,16,1.8,1.6
27,17,1.8,1.6
27,18,1.8,1.6
27,19,1.8,1.6
27,20,1.8,1.6
27,21,1.8,1.6
27,22,1.8,1.6
27,23,1.8,1.6
27,24,1.8,1.6
27,25,1.8,1.6
27,26,1.8,1.6
27,27,1.8,1.6
27,28,1.8,1.6
27,29,1.8,1.6
27,30,1.8,1.6
