exp,seed,v0,thw0,lead_onset_t,rt_brake,rt_replan,brake_onset_idx,replan_onset_idx,lead_onset_idx,min_gap,collided,eps_pre_median,eps_max
3,13,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.8457786560058596,1,1001.28,10692.79262016247
3,14,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.085225296020508,1,1001.28,9287.832364630507
3,15,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.34324951171875,1,1001.28,9840.673979668929
3,16,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-4.7249805450439455,1,1001.28,9506.828117212319
3,17,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-4.589724731445313,1,1001.28,9894.832548328226
3,18,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.376755905151367,1,1001.28,9594.866494043179
3,19,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-6.17332763671875,1,1001.28,8042.408483607476
3,20,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-6.853226852416992,1,1001.28,8537.358029999426
3,21,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-4.763119888305664,1,1001.28,9595.735320530344
3,22,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.056895446777344,1,1001.28,9720.433371569361
3,23,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-6.117098999023438,1,1001.28,9460.74600043207
3,24,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-6.662043762207031,1,1001.28,9292.697287356996
3,25,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.2523242950439455,1,1001.28,8593.303179719906
3,26,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.011882019042969,1,1001.28,9823.719498792625
3,27,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-3.0897247314453127,1,1001.28,10731.476241772587
3,28,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.189738464355469,1,1001.28,9919.399809000444
3,29,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-3.856965255737305,1,1001.28,10171.030220459965
3,30,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.572406005859375,1,1001.28,9783.753436277255
3,31,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-3.3103057861328127,1,1001.28,10029.143961105381
4,0,25.0,1.168,0.8,1.0,0.6000000000000001,9,7,4,-140.80179138183593,0,1.2800000000000002,8443.632609441556
4,1,25.0,1.168,0.8,1.0,0.6000000000000001,9,7,4,-102.08764953613282,0,1.2800000000000002,6661.217239690646
4,2,25.0,1.168,0.8,2.0,0.6000000000000001,14,7,4,-172.52801818847655,0,1.2800000000000002,8319.546748971663
4,3,25.0,1.168,0.8,2.0,0.6000000000000001,14,7,4,-188.50607604980468,0,1.2800000000000002,6979.295912369529
4,4,25.0,1.168,0.8,1.0,0.6000000000000001,9,7,4,-121.89268798828125,0,1.2800000000000002,5970.921212830638
4,5,25.0,1.168,0.8,3.6,0.6000000000000001,22,7,4,-178.5883819580078,0,1.2800000000000002,7908.440281757481
4,6,25.0,1.168,0.8,1.4000000000000001,0.6000000000000001,11,7,4,-83.96010131835938,0,1.2800000000000002,13793.413246163482
4,7,25.0,1.168,0.8,0.8,0.6000000000000001,8,7,4,-153.20965881347655,0,1.2800000000000002,11473.450023365987
4,8,25.0,1.168,0.8,3.8000000000000003,0.6000000000000001,23,7,4,-173.61557312011718,0,1.2800000000000002,15838.41596495359
4,9,25.0,1.168,0.8,2.4000000000000004,0.6000000000000001,16,7,4,-151.981982421875,0,1.2800000000000002,7550.052118135449
4,10,25.0,1.168,0.8,1.8,0.6000000000000001,13,7,4,-141.95001525878905,0,1.2800000000000002,23260.314473191866
4,11,25.0,1.168,0.8,1.8,0.6000000000000001,13,7,4,-156.261767578125,0,1.2800000000000002,57772.18213143101
4,12,25.0,1.168,0.8,1.0,0.6000000000000001,9,7,4,-128.81483764648436,0,1.2800000000000002,6966.182485969975
4,13,25.0,1.168,0.8,0.8,0.6000000000000001,8,7,4,-181.8610870361328,0,1.2800000000000002,8697.522137791062
4,14,25.0,1.168,0.8,1.2000000000000002,0.6000000000000001,10,7,4,-125.97548217773438,0,1.2800000000000002,8039.349331509327
4,15,25.0,1.168,0.8,1.0,0.6000000000000001,9,7,4,-168.8243438720703,0,1.2800000000000002,6361.278419685976
4,16,25.0,1.168,0.8,1.4000000000000001,0.6000000000000001,11,7,4,-108.54530639648438,0,1.2800000000000002,10686.163246563096
4,17,25.0,1.168,0.8,1.4000000000000001,0.6000000000000001,11,7,4,-107.28030700683594,0,1.2800000000000002,7917.412165156539
4,18,25.0,1.168,0.8,1.0,0.6000000000000001,9,7,4,-181.65338439941405,0,1.2800000000000002,6498.1383362037095
4,19,25.0,1.168,0.8,1.8,0.6000000000000001,13,7,4,-141.51101989746093,0,1.2800000000000002,6054.702731009908
4,20,25.0,1.168,0.8,2.0,0.6000000000000001,14,7,4,-161.74896545410155,0,1.2800000000000002,12317.142711489156
4,21,25.0,1.168,0.8,0.8,0.6000000000000001,8,7,4,-117.92288513183594,0,1.2800000000000002,7778.125624327857
4,22,25.0,1.168,0.8,1.6,0.6000000000000001,12,7,4,-124.57442016601563,0,1.2800000000000002,6251.246532771754
4,23,25.0,1.168,0.8,4.2,0.6000000000000001,25,7,4,-210.82266540527343,0,1.2800000000000002,8331.567672265068
4,24,25.0,1.168,0.8,2.6,0.6000000000000001,17,7,4,-138.07847900390624,0,1.2800000000000002,7537.940910807194
4,25,25.0,1.168,0.8,1.0,0.6000000000000001,9,7,4,-129.88060302734374,0,1.2800000000000002,9253.914614148214
