v0,time_gap,repeat,response_time,min_decel,inv_ttc_at_onset,max_lateral,maneuver,collided,min_clearance
25.0,0.5,0,0.0,-6.213668182909613,0.07917188219436928,3.810208862816305,both,0,0.15588918894619974
25.0,0.5,1,0.0,-7.85175312009305,0.18659429163143298,3.842727765842042,both,0,1.8622890750677763
25.0,0.5,2,0.0,-7.603965147669948,0.31695627721412367,1.183296628855144,both,1,-0.24619555391585113
25.0,0.5,3,0.20000000000000018,-6.291367768674256,0.0,4.03995038007042,both,0,1.88803178547622
25.0,0.5,4,nan,-5.141203080640643,nan,0.8816257643880894,swerve,1,-1.5519564442583615
25.0,1.0,0,1.4000000000000004,-8.0,0.5506236843480489,1.377021361619924,both,1,-0.6939124460884303
25.0,1.0,1,nan,-0.1,nan,0.5131367053599557,swerve,1,-1.7182742043100496
25.0,1.0,2,0.20000000000000018,-6.616716832614251,0.0,3.7125713648532725,both,0,1.3988962098352398
25.0,1.0,3,0.40000000000000036,-7.004682235774388,0.17572581882280594,3.8345984974751,both,0,1.629622073801796
25.0,1.0,4,0.0,-6.926264326303415,0.07907246567703252,0.5228966505994521,both,1,-1.400820020962897
25.0,1.5,0,nan,-0.6055930993545147,nan,3.909564050645921,swerve,1,-0.26197136085954686
25.0,1.5,1,2.0,-5.1240102999186865,0.36119758748587716,27.95935390841691,both,0,27.26474996408297
25.0,1.5,2,0.40000000000000036,-6.428444235106117,0.15492884906376803,1.370282363829236,both,1,-1.6198466687473685
25.0,1.5,3,0.8000000000000003,-7.573305030933983,0.24927068302164812,1.1988502259906446,both,1,-1.2437933586258056
25.0,1.5,4,0.20000000000000018,-5.492454251115198,0.0,1.0471774486588,both,0,0.6789734340451217
25.0,2.0,0,1.4000000000000004,-6.018596235602418,0.20630325230935792,21.172214263091092,both,0,27.65287081406274
25.0,2.0,1,3.0,-6.688934614240193,0.30853261409562316,35.71626975067839,both,0,36.31623084998701
25.0,2.0,2,0.20000000000000018,-7.268658302080202,0.062190048445768635,3.9421969716024834,both,0,1.3271539840877968
25.0,2.0,3,2.8000000000000007,-4.8083953714162995,0.23545840869536117,24.65288646944956,both,0,45.4375437926024
25.0,2.0,4,0.8000000000000003,-7.638240529671702,0.2678659015615734,1.6041703271789296,both,1,-1.1039289014759293
25.0,2.5,0,0.0,-6.989109790758412,0.0,3.972914320097595,both,0,3.90416244736615
25.0,2.5,1,2.0,-6.121150286543749,0.3739902722118687,18.298320958448436,both,0,31.043126545403982
25.0,2.5,2,2.6000000000000005,-6.3798976156017835,0.6367445629114499,20.978100353234307,both,0,33.49937885329372
25.0,2.5,3,0.40000000000000036,-5.383699573919115,0.08739069912956418,13.048522855012894,both,0,51.10118222507124
25.0,2.5,4,0.20000000000000018,-6.144209429528179,0.0,3.8070211568354146,both,0,8.554770650224203
25.0,3.0,0,0.0,-5.692270355325953,0.0,0.6022671949372433,both,0,14.188953415340752
25.0,3.0,1,0.0,-6.8746433771826,0.016481552167577372,3.678082805052544,both,0,2.2968558611881233
25.0,3.0,2,0.0,-5.294892211085069,0.0,0.4707728427113855,brake,0,8.662786248445958
25.0,3.0,3,1.4000000000000004,-5.022409114920285,0.15874387512605356,17.745543963626954,both,0,53.87741825044492
25.0,3.0,4,1.6,-5.660972039520907,0.262329902479831,16.078112758910354,both,0,54.11011431117747
25.0,3.5,0,3.6000000000000005,-7.0153741227659845,0.6975776658205537,22.232777333125668,both,0,9.46371011774885
25.0,3.5,1,2.2,-7.83160477620976,0.2382452230241644,4.46034378558536,both,1,-1.6403678190859812
25.0,3.5,2,0.0,-4.872487721855965,0.014875053265790033,4.725886557265592,both,0,0.312969221001242
25.0,3.5,3,0.0,-3.82111915034252,0.0,0.795865370621415,both,1,-0.11702111658162284
25.0,3.5,4,0.0,-5.664139164549327,0.0,0.5504337449908773,both,0,15.905835706632008
35.0,0.5,0,0.0,-7.395190514322062,0.05908214941147475,2.3727278430385024,both,1,-0.3010399957779386
35.0,0.5,1,0.6000000000000001,-5.662808304833678,0.30307389791764056,24.424465809409508,both,0,13.91411196949365
35.0,0.5,2,3.8000000000000007,-5.289919222214615,0.24946765187435888,52.9270344211244,both,1,-0.14460562461787863
35.0,0.5,3,0.0,-7.049557421209607,0.022030862756247466,3.813534284691388,both,0,0.0875815422809525
35.0,0.5,4,0.0,-4.5654353046684335,0.0,3.9918581442391288,both,1,-1.0569675390763456
35.0,1.0,0,0.40000000000000036,-5.975545578177553,0.0,2.095598061555028,both,1,-0.030322840182659405
35.0,1.0,1,0.20000000000000018,-7.897731056744708,0.0,1.1613416876992966,both,1,-1.0507330675571724
35.0,1.0,2,0.40000000000000036,-6.623192341795398,0.16389134206934258,3.8430226210347653,both,1,-0.6308565205559418
35.0,1.0,3,0.20000000000000018,-6.762116610998749,0.12430005369360844,3.4447122327236483,both,1,-0.9248663777634182
35.0,1.0,4,0.0,-7.859498061873113,0.11962470317659676,4.250003009914755,both,0,0.9316810321765352
35.0,1.5,0,1.4000000000000004,-6.759673879882856,0.14288934869909986,39.36822726129994,both,0,48.12583638448437
35.0,1.5,1,0.20000000000000018,-5.561148824399891,0.0,19.34194331660106,both,0,52.504309096944354
35.0,1.5,2,0.40000000000000036,-6.643347573177029,0.12627719004890467,3.9288481939111217,both,0,1.0167494147587612
35.0,1.5,3,0.40000000000000036,-8.0,0.11217914852842675,3.76322154972004,both,0,1.696770310022474
35.0,1.5,4,4.2,-3.4173624669419276,0.4413102621950841,24.167064675317135,both,0,29.496454748511287
35.0,2.0,0,1.8000000000000003,-7.366165687706716,0.3477007604932883,34.00534272105355,both,0,38.46302369863217
35.0,2.0,1,0.20000000000000018,-5.922574054828972,0.0619732607494161,29.97483372224825,both,0,41.38976938241258
35.0,2.0,2,2.6000000000000005,-5.601691667675764,0.16837339787317732,27.71465170501916,both,0,66.00845134308192
35.0,2.0,3,0.0,-7.973047802944603,0.01671389702582174,3.8542641194917904,both,0,1.70108988588513
35.0,2.0,4,0.0,-8.0,0.0,24.977291832342814,both,0,66.99110242854819
35.0,2.5,0,5.0,-5.998940672193308,0.3307044182562825,21.78321937582129,both,0,56.22889575353669
35.0,2.5,1,7.0,-3.972407947902191,0.45544607352777566,40.594605363818964,both,0,60.037992690956216
