exp,seed,v0,thw0,lead_onset_t,rt_brake,rt_replan,brake_onset_idx,replan_onset_idx,lead_onset_idx,min_gap,collided,eps_pre_median,eps_max
3,6,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-4.1694385528564455,1,1000.0,9958.753574040815
3,7,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-4.511628341674805,1,1000.0,9790.512735268378
3,8,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-4.879168701171875,1,1000.0,9950.434522391824
3,9,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-6.885981750488281,1,1000.0,8766.80250179875
3,10,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.060593795776367,1,1000.0,9524.036886727783
3,11,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.346148681640625,1,1000.0,9415.906011018733
3,12,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-4.202964019775391,1,1000.0,10165.142604413626
3,13,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.8457786560058596,1,1000.0,10692.467892848386
3,14,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.085225296020508,1,1000.0,9287.805806810988
3,15,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.34324951171875,1,1000.0,9840.642440094061
3,16,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-4.7249805450439455,1,1000.0,9506.810585702295
3,17,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-4.589724731445313,1,1000.0,9894.803427259747
3,18,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.376755905151367,1,1000.0,9594.663928679145
3,19,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-6.17332763671875,1,1000.0,8042.348384255268
3,20,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-6.853226852416992,1,1000.0,8537.354213485021
3,21,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-4.763119888305664,1,1000.0,9594.252159003934
3,22,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.056895446777344,1,1000.0,9720.431662237012
3,23,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-6.117098999023438,1,1000.0,9459.540794186552
3,24,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-6.662043762207031,1,1000.0,9292.689055644738
3,25,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.2523242950439455,1,1000.0,8593.201268594117
3,26,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.011882019042969,1,1000.0,9823.68845467049
3,27,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-3.0897247314453127,1,1000.0,10731.45296665039
3,28,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.189738464355469,1,1000.0,9919.38123039426
3,29,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-3.856965255737305,1,1000.0,10170.98584317489
3,30,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-5.572406005859375,1,1000.0,9783.65763660276
3,31,10.0,0.92,0.8,0.8,0.6000000000000001,8,7,4,-3.3103057861328127,1,1000.0,10029.097346032459
4,0,25.0,1.168,0.8,1.0,0.6000000000000001,9,7,4,-140.80179138183593,0,0.0,16221.725193388333
4,1,25.0,1.168,0.8,1.0,0.6000000000000001,9,7,4,-102.08764953613282,0,0.0,6621.308549045227
4,2,25.0,1.168,0.8,2.0,0.6000000000000001,14,7,4,-172.52801818847655,0,0.0,15960.74987382546
4,3,25.0,1.168,0.8,2.0,0.6000000000000001,14,7,4,-188.50607604980468,0,0.0,17178.063793765075
4,4,25.0,1.168,0.8,1.0,0.6000000000000001,9,7,4,-121.89268798828125,0,0.0,5853.973422382456
4,5,25.0,1.168,0.8,3.6,0.6000000000000001,22,7,4,-178.5883819580078,0,0.0,15046.853979621494
