seed_id,omega,v_f0,dv_lead,p_inj,t_nr,a_l_min,a_f_min
2792,0.012600167,0.0,1.92971703,0.0039030013593473216,-0.09999999999999964,0.0,0.0
2793,1.029261499,0.0,0.82406814,0.002708572167022322,-0.15000000000000036,0.0,-1.7763568394002505e-15
2794,0.00563176,0.0,1.418726023,0.003296827628701439,-0.14999999999999947,0.0,0.0
2795,0.128821946,0.0,1.751553073,0.0036799838039826395,-0.14999999999999947,0.0,0.0
2796,0.08523458,0.0,1.178470119,0.003045205151743404,-0.14999999999999947,0.0,0.0
2797,3.01654971,0.0,2.14488089,0.004190349487715148,-0.14999999999999947,0.0,0.0
2798,2.758690718,0.0,0.519622889,0.0024491917465555096,0.0,0.0,-1.7763568394002505e-15
2799,0.485831419,0.0,2.240637407,0.004324914129683912,-0.20000000000000018,0.0,0.0
2800,0.781289638,0.0,0.765442401,0.0026565793076131685,-0.10000000000000053,0.0,-1.7763568394002505e-15
2801,2.319965963,0.0,2.34804156,0.004480972121761759,-0.09999999999999964,0.0,0.0
2802,0.036993336,0.0,1.773468992,0.0037067172464400056,0.0,0.0,0.0
2803,1.66523669,0.0,1.324393519,0.00319565144465866,-0.14999999999999947,0.0,0.0
2804,0.364623233,0.0,1.820493908,0.003764733861270576,0.0,0.0,0.0
2805,0.020177792,0.0,1.58653493,0.0034847655113529052,-0.09999999999999964,0.0,0.0
2806,0.109136226,0.0,1.301615639,0.003171688621476429,0.0,0.0,0.0
2807,0.018987391,0.0,1.951081388,0.003930632605547268,-0.14999999999999947,0.0,0.0
2808,3.627516473,0.0,2.326172247,0.00444874798874326,-0.14999999999999947,0.0,0.0
2809,0.907574429,0.0,1.147828445,0.0030145221703964113,-0.09999999999999964,0.0,0.0
2810,0.09772244,0.0,1.132616284,0.002999404190298878,-0.09999999999999964,0.0,0.0
2811,0.862703813,0.0,0.65728396,0.0025632561012786546,-0.09999999999999964,0.0,-1.7763568394002505e-15
2812,0.415459363,0.0,2.053979128,0.004066467157335628,-0.09999999999999964,0.0,0.0
2813,0.338266848,0.0,1.417385649,0.0032953678878466087,-0.14999999999999947,0.0,0.0
2814,0.081650021,0.0,1.516189709,0.0034047163831255763,0.0,0.0,0.0
2815,0.069802926,0.0,1.813195254,0.0037556702521270957,-0.14999999999999947,0.0,0.0
2816,0.049816187,0.0,1.204790646,0.0030718096203398645,-0.09999999999999964,0.0,0.0
2817,0.006264784,0.0,1.381254055,0.003256260413921254,-0.09999999999999964,0.0,0.0
2818,0.023593788,0.0,1.575692049,0.0034723057170364365,-0.14999999999999947,0.0,0.0
2819,0.580700606,0.0,1.465363796,0.0033480220483721804,-0.09999999999999964,0.0,0.0
2820,2.240518856,0.0,2.36384386,0.0045044011046797726,-0.14999999999999947,0.0,0.0
2821,0.280880707,0.0,1.324399827,0.00319565810574398,0.0,0.0,0.0
2822,0.13778436,0.0,1.003258308,0.002873863830580086,0.0,0.0,0.0
2823,1.19567379,0.0,1.311345184,0.003181902321182669,-0.09999999999999964,0.0,0.0
2824,0.068794768,0.0,1.246937485,0.0031148945499655015,-0.09999999999999964,0.0,0.0
2825,0.85361648,0.0,2.414495182,0.0045803233070157295,-0.09999999999999964,0.0,0.0
2826,2.046429323,0.0,0.561971228,0.002483731137147986,-0.10000000000000053,0.0,-1.7763568394002505e-15
2827,1.307208984,0.0,2.437958353,0.004615923072476568,-0.09999999999999964,0.0,0.0
2828,0.121954696,0.0,1.513086908,0.003401228070419901,-0.14999999999999947,0.0,0.0
2829,0.022628844,0.0,1.781857504,0.003717000833336918,-0.09999999999999964,0.0,0.0
2830,1.277183766,0.0,2.71875166,0.005063939056058928,-0.20000000000000018,0.0,0.0
2831,0.044526533,0.0,1.468057084,0.0033510025595940933,-0.14999999999999947,0.0,0.0
2832,0.024707463,0.0,1.65668241,0.003566456999653063,-0.14999999999999947,0.0,0.0
2833,1.729109987,0.0,2.091530229,0.004117193973546496,-0.20000000000000018,0.0,0.0
2834,0.138496259,0.0,1.445611054,0.003326243388882453,-0.09999999999999964,0.0,0.0
